group,total,verifier_recovered,same_ast_return,verified_equivalent_ast,unsupported,failed,execution_error,verifier_recovery_rate,unsupported_rate,failure_rate
blind,10,4,0,0,0,6,0,0.4,0.0,0.6
perturbed_tree,10,10,0,0,0,0,0,1.0,0.0,0.0
