depth,start_mode,training_mode,seed_count,recovered,total,recovery_rate,best_loss_median,best_loss_min,best_loss_max,post_snap_loss_median,post_snap_loss_min,post_snap_loss_max,runtime_seconds_median,runtime_seconds_min,runtime_seconds_max,snap_min_margin_median,snap_min_margin_min,snap_min_margin_max
2,blind,blind_training,2,2,2,1.0,8.399855357685602e-07,2.2240559884125333e-09,1.6777470155487078e-06,0.0,0.0,0.0,0.25362279199180193,0.25317874999018386,0.25406683399342,0.7699989642095046,0.6912754261281321,0.8487225022908773
2,perturbed_tree,perturbed_true_tree_training,2,2,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030729416495887563,0.029837000009138137,0.03162183298263699,1.0,1.0,1.0
3,blind,blind_training,2,2,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6650827295088675,0.6648550000390969,0.665310458978638,1.0,1.0,1.0
3,perturbed_tree,perturbed_true_tree_training,2,2,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0504777914902661,0.05046195798786357,0.05049362499266863,1.0,1.0,1.0
4,blind,blind_training,2,0,2,0.0,0.15441653059916866,0.15433735836199722,0.15449570283634007,0.15441653059916866,0.15433735836199725,0.1544957028363401,1.375356312491931,1.3733403750229627,1.3773722499608994,1.0,1.0,1.0
4,perturbed_tree,perturbed_true_tree_training,2,2,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12293356249574572,0.12217575003160164,0.1236913749598898,1.0,1.0,1.0
5,blind,blind_training,2,0,2,0.0,1.6423298980003598,1.5436804689436923,1.7409793270570273,13.186620004944892,13.178778240394943,13.194461769494842,2.797182604466798,2.7952929589664564,2.799072249967139,1.0,1.0,1.0
5,perturbed_tree,perturbed_true_tree_training,2,2,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23145754149300046,0.2309247080120258,0.23199037497397512,1.0,1.0,1.0
6,blind,blind_training,2,0,2,0.0,0.28705099795018924,0.26015496374291974,0.3139470321574587,0.3388802684930092,0.33870616133121495,0.3390543756548034,5.795458166481694,5.745464208011981,5.845452124951407,1.0,1.0,1.0
6,perturbed_tree,perturbed_true_tree_training,2,2,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4517157704976853,0.4506398329976946,0.452791707997676,1.0,1.0,1.0
