group,total,verifier_recovered,same_ast_return,verified_equivalent_ast,unsupported,failed,execution_error,verifier_recovery_rate,unsupported_rate,failure_rate
1,3,2,0,0,0,1,0,0.6666666666666666,0.0,0.3333333333333333
2,20,11,11,0,5,4,0,0.55,0.25,0.2
3,3,0,0,0,0,3,0,0.0,0.0,1.0
4,3,0,0,0,0,3,0,0.0,0.0,1.0
