run_id,suite_id,case_id,formula,start_mode,seed,depth,steps,warm_depth,warm_steps,restarts,warm_restarts,perturbation_noise,best_loss,post_snap_loss,snap_min_margin,verifier_status,recovery_class,status,claim_status,runtime_seconds,active_slot_count,changed_slot_count,reason,artifact_path
v1-3-showcase-beer-perturbation-sweep-098bf41383ad,v1.3-showcase,beer-perturbation-sweep,beer_lambert,warm_start,1,2,8,0,90,1,1,2.5,5.2469216860237764e-33,4.542698990054559e-32,1.0,recovered,same_ast_warm_start_return,same_ast_return,recovered,13.046241374977399,18,0,verified,artifacts/campaigns/v1.3-showcase/runs/v1.3-showcase/v1-3-showcase-beer-perturbation-sweep-098bf41383ad.json
v1-3-showcase-beer-perturbation-sweep-d6cf949e5337,v1.3-showcase,beer-perturbation-sweep,beer_lambert,warm_start,1,2,8,0,90,1,1,5.0,5.2362491614337876e-33,4.542698990054559e-32,0.9999999999999996,recovered,same_ast_warm_start_return,same_ast_return,recovered,13.032588792033494,18,0,verified,artifacts/campaigns/v1.3-showcase/runs/v1.3-showcase/v1-3-showcase-beer-perturbation-sweep-d6cf949e5337.json
v1-3-showcase-beer-perturbation-sweep-89c991bee41e,v1.3-showcase,beer-perturbation-sweep,beer_lambert,warm_start,1,2,8,0,90,1,1,15.0,0.21509044977487604,0.21927561010523208,0.9998926154620775,failed,snapped_but_failed,snapped_but_failed,failed,13.00378908298444,18,1,verified,artifacts/campaigns/v1.3-showcase/runs/v1.3-showcase/v1-3-showcase-beer-perturbation-sweep-89c991bee41e.json
v1-3-showcase-beer-perturbation-sweep-8615aab30e44,v1.3-showcase,beer-perturbation-sweep,beer_lambert,warm_start,1,2,8,0,90,1,1,35.0,0.21927438627985,0.21927561010523208,0.9999985028118887,failed,snapped_but_failed,snapped_but_failed,failed,13.081874291994609,18,3,verified,artifacts/campaigns/v1.3-showcase/runs/v1.3-showcase/v1-3-showcase-beer-perturbation-sweep-8615aab30e44.json
v1-3-showcase-beer-perturbation-sweep-75c7f17caa7d,v1.3-showcase,beer-perturbation-sweep,beer_lambert,warm_start,2,2,8,0,90,1,1,0.0,3.606414187275868e-33,4.5030170044832595e-32,1.0,recovered,same_ast_warm_start_return,same_ast_return,recovered,12.799647874955554,18,0,verified,artifacts/campaigns/v1.3-showcase/runs/v1.3-showcase/v1-3-showcase-beer-perturbation-sweep-75c7f17caa7d.json
v1-3-showcase-beer-perturbation-sweep-5de5751a8845,v1.3-showcase,beer-perturbation-sweep,beer_lambert,warm_start,2,2,8,0,90,1,1,2.5,3.639911334691976e-33,4.5030170044832595e-32,1.0,recovered,same_ast_warm_start_return,same_ast_return,recovered,13.145000124990474,18,0,verified,artifacts/campaigns/v1.3-showcase/runs/v1.3-showcase/v1-3-showcase-beer-perturbation-sweep-5de5751a8845.json
v1-3-showcase-beer-perturbation-sweep-0b418b8b99d9,v1.3-showcase,beer-perturbation-sweep,beer_lambert,warm_start,2,2,8,0,90,1,1,5.0,3.641065877826728e-33,4.5030170044832595e-32,1.0,recovered,same_ast_warm_start_return,same_ast_return,recovered,13.076307416020427,18,0,verified,artifacts/campaigns/v1.3-showcase/runs/v1.3-showcase/v1-3-showcase-beer-perturbation-sweep-0b418b8b99d9.json
v1-3-showcase-beer-perturbation-sweep-5eab2a4656c1,v1.3-showcase,beer-perturbation-sweep,beer_lambert,warm_start,2,2,8,0,90,1,1,15.0,1.2477825654752905e-27,4.5030170044832595e-32,0.9992264579971132,recovered,same_ast_warm_start_return,same_ast_return,recovered,13.162986624985933,18,0,verified,artifacts/campaigns/v1.3-showcase/runs/v1.3-showcase/v1-3-showcase-beer-perturbation-sweep-5eab2a4656c1.json
v1-3-showcase-beer-perturbation-sweep-05cb8f1ed422,v1.3-showcase,beer-perturbation-sweep,beer_lambert,warm_start,2,2,8,0,90,1,1,35.0,0.3735906412028358,0.07479189732447282,0.27431234111108455,failed,snapped_but_failed,snapped_but_failed,failed,13.280733874998987,18,7,verified,artifacts/campaigns/v1.3-showcase/runs/v1.3-showcase/v1-3-showcase-beer-perturbation-sweep-05cb8f1ed422.json
v1-3-showcase-michaelis-warm-diagnostic-8f1f8084d61b,v1.3-showcase,michaelis-warm-diagnostic,michaelis_menten,warm_start,0,2,8,0,90,1,1,0.0,,,,,unsupported,unsupported,unsupported,0.01754958397941664,,,depth_exceeded,artifacts/campaigns/v1.3-showcase/runs/v1.3-showcase/v1-3-showcase-michaelis-warm-diagnostic-8f1f8084d61b.json
v1-3-showcase-logistic-compile-5a739cf1c01f,v1.3-showcase,logistic-compile,logistic,compile,0,2,8,0,8,1,1,0.0,,,,,unsupported,unsupported,unsupported,0.010928250034339726,,,depth_exceeded,artifacts/campaigns/v1.3-showcase/runs/v1.3-showcase/v1-3-showcase-logistic-compile-5a739cf1c01f.json
v1-3-showcase-shockley-compile-0119659ca5dd,v1.3-showcase,shockley-compile,shockley,compile,0,2,8,0,8,1,1,0.0,,,,,unsupported,unsupported,unsupported,0.010934374993667006,,,depth_exceeded,artifacts/campaigns/v1.3-showcase/runs/v1.3-showcase/v1-3-showcase-shockley-compile-0119659ca5dd.json
v1-3-showcase-damped-oscillator-compile-9b393796ada0,v1.3-showcase,damped-oscillator-compile,damped_oscillator,compile,0,2,8,0,8,1,1,0.0,,,,,unsupported,unsupported,unsupported,0.009228750015608966,,,unsupported_operator,artifacts/campaigns/v1.3-showcase/runs/v1.3-showcase/v1-3-showcase-damped-oscillator-compile-9b393796ada0.json
v1-3-showcase-planck-diagnostic-1ba93a0c5966,v1.3-showcase,planck-diagnostic,planck,compile,0,2,8,0,8,1,1,0.0,,,,,unsupported,unsupported,unsupported,0.00954150001052767,,,depth_exceeded,artifacts/campaigns/v1.3-showcase/runs/v1.3-showcase/v1-3-showcase-planck-diagnostic-1ba93a0c5966.json
