law,formula_id,compile_support,strict_gate,baseline_depth,relaxed_motif_depth,relaxed_depth_improved,macro_hits,compile_probe_status,blind_probe_status,blind_probe_verifier_status,promotion,promotion_reason,evidence_regime,scientific_artifact_path,blind_probe_artifact_path,claim_boundary
Logistic diagnostic,logistic,unsupported,13,27,15,true,"[""exponential_saturation_template""]",unsupported,snapped_but_failed,failed,no,strict support and verifier recovery did not both pass,compile_only,artifacts/campaigns/v1.10-logistic-evidence/v1-10-logistic-evidence-logistic-compile-c2af27a35e81.json,artifacts/campaigns/v1.11-logistic-planck-probes/runs/v1.11-logistic-planck-probes/v1-11-logistic-planck-probes-logistic-blind-probe-b35045193c4c.json,negative result remains visible; relaxed depth improvement is not recovery
Planck diagnostic,planck,unsupported,13,24,14,true,"[""low_degree_power_template"", ""scaled_exp_minus_one_template"", ""direct_division_template""]",unsupported,failed,failed,no,strict support and verifier recovery did not both pass,compile_only,artifacts/campaigns/v1.10-planck-diagnostics/v1-10-planck-diagnostics-planck-compile-795067919a97.json,artifacts/campaigns/v1.11-logistic-planck-probes/runs/v1.11-logistic-planck-probes/v1-11-logistic-planck-probes-planck-blind-probe-be823c997bf6.json,negative result remains visible; relaxed depth improvement is not recovery
