run_id,formula,start_mode,classification,status,return_kind,raw_status,repair_status,repair_verifier_status,repair_accepted_move_count,reason,artifact_path
v1-8-family-smoke-planck-diagnostic-ceml1-38ded6f58ca3,planck,compile,unsupported,unsupported,,,,,0,depth_exceeded,artifacts/campaigns/v1.8-family-smoke-triage/runs/v1.8-family-smoke/v1-8-family-smoke-planck-diagnostic-ceml1-38ded6f58ca3.json
v1-8-family-smoke-planck-diagnostic-zeml1-caaa73ea632b,planck,compile,unsupported,unsupported,,,,,0,depth_exceeded,artifacts/campaigns/v1.8-family-smoke-triage/runs/v1.8-family-smoke/v1-8-family-smoke-planck-diagnostic-zeml1-caaa73ea632b.json
v1-8-family-smoke-planck-diagnostic-ceml2-a4ce0774fc16,planck,compile,unsupported,unsupported,,,,,0,depth_exceeded,artifacts/campaigns/v1.8-family-smoke-triage/runs/v1.8-family-smoke/v1-8-family-smoke-planck-diagnostic-ceml2-a4ce0774fc16.json
v1-8-family-smoke-planck-diagnostic-zeml2-595426850711,planck,compile,unsupported,unsupported,,,,,0,depth_exceeded,artifacts/campaigns/v1.8-family-smoke-triage/runs/v1.8-family-smoke/v1-8-family-smoke-planck-diagnostic-zeml2-595426850711.json
v1-8-family-smoke-planck-diagnostic-ceml4-a28b07a2fac8,planck,compile,unsupported,unsupported,,,,,0,depth_exceeded,artifacts/campaigns/v1.8-family-smoke-triage/runs/v1.8-family-smoke/v1-8-family-smoke-planck-diagnostic-ceml4-a28b07a2fac8.json
v1-8-family-smoke-planck-diagnostic-zeml4-9b85fe53e8ca,planck,compile,unsupported,unsupported,,,,,0,depth_exceeded,artifacts/campaigns/v1.8-family-smoke-triage/runs/v1.8-family-smoke/v1-8-family-smoke-planck-diagnostic-zeml4-9b85fe53e8ca.json
v1-8-family-smoke-planck-diagnostic-ceml8-4eace4f6f021,planck,compile,unsupported,unsupported,,,,,0,depth_exceeded,artifacts/campaigns/v1.8-family-smoke-triage/runs/v1.8-family-smoke/v1-8-family-smoke-planck-diagnostic-ceml8-4eace4f6f021.json
v1-8-family-smoke-planck-diagnostic-zeml8-03bcb971710c,planck,compile,unsupported,unsupported,,,,,0,depth_exceeded,artifacts/campaigns/v1.8-family-smoke-triage/runs/v1.8-family-smoke/v1-8-family-smoke-planck-diagnostic-zeml8-03bcb971710c.json
v1-8-family-smoke-planck-diagnostic-zeml8-4-df0ff05244cc,planck,compile,unsupported,unsupported,,,,,0,depth_exceeded,artifacts/campaigns/v1.8-family-smoke-triage/runs/v1.8-family-smoke/v1-8-family-smoke-planck-diagnostic-zeml8-4-df0ff05244cc.json
v1-8-family-smoke-planck-diagnostic-zeml8-4-2-1-7751e6ca8d8a,planck,compile,unsupported,unsupported,,,,,0,depth_exceeded,artifacts/campaigns/v1.8-family-smoke-triage/runs/v1.8-family-smoke/v1-8-family-smoke-planck-diagnostic-zeml8-4-2-1-7751e6ca8d8a.json
