group,total,verifier_recovered,same_ast_return,verified_equivalent_ast,unsupported,failed,execution_error,verifier_recovery_rate,unsupported_rate,failure_rate
failed,1,0,0,0,0,1,0,0.0,0.0,1.0
snapped_but_failed,1,0,0,0,0,1,0,0.0,0.0,1.0
unsupported,2,0,0,0,2,0,0,0.0,1.0,0.0
