run_id,suite_id,case_id,formula,start_mode,seed,depth,steps,warm_depth,warm_steps,restarts,warm_restarts,perturbation_noise,operator_family,operator_schedule,best_loss,post_snap_loss,snap_min_margin,verifier_status,recovery_class,status,claim_status,claim_id,claim_class,training_mode,evidence_class,return_kind,raw_status,repair_status,repair_verifier_status,repair_accepted_move_count,repair_candidate_root_count,repair_deduped_variant_count,repair_accepted_candidate_root_source,threshold_policy,dataset_manifest_sha256,provenance_source,provenance_expression,runtime_seconds,active_slot_count,changed_slot_count,warm_start_mechanism,reason,artifact_path
v1-11-logistic-planck-probes-logistic-compile-d9b410fc6d87,v1.11-logistic-planck-probes,logistic-compile,logistic,compile,0,2,8,0,8,1,1,0.0,raw_eml,,,,,,unsupported,unsupported,unsupported,,,compile_only_verification,unsupported,,,,,0,,,,,e132c7fd8662bb7ee2597b3ab81998f0e55c26a772240a1eddd39e0dc502ac67,sources/FOR_DEMO.md,1/(1 + 2*exp(-1.3*x)),0.04247491608839482,,,,depth_exceeded,artifacts/campaigns/v1.11-logistic-planck-probes/runs/v1.11-logistic-planck-probes/v1-11-logistic-planck-probes-logistic-compile-d9b410fc6d87.json
v1-11-logistic-planck-probes-planck-compile-9565da4ea47b,v1.11-logistic-planck-probes,planck-compile,planck,compile,0,2,8,0,8,1,1,0.0,raw_eml,,,,,,unsupported,unsupported,unsupported,,,compile_only_verification,unsupported,,,,,0,,,,,021d09cad64656081182e9fb2b8993d4e224508b48e68e774004d9c2ede861de,sources/FOR_DEMO.md,x**3/(exp(x) - 1),0.11114858300425112,,,,depth_exceeded,artifacts/campaigns/v1.11-logistic-planck-probes/runs/v1.11-logistic-planck-probes/v1-11-logistic-planck-probes-planck-compile-9565da4ea47b.json
v1-11-logistic-planck-probes-logistic-blind-probe-b35045193c4c,v1.11-logistic-planck-probes,logistic-blind-probe,logistic,blind,0,3,32,0,8,1,1,0.0,raw_eml,,0.03699066638548958,4.35528770272117,0.08686120672160885,failed,snapped_but_failed,snapped_but_failed,failed,,,blind_training,snapped_but_failed,,,not_repaired,,0,1,8,,,e132c7fd8662bb7ee2597b3ab81998f0e55c26a772240a1eddd39e0dc502ac67,sources/FOR_DEMO.md,1/(1 + 2*exp(-1.3*x)),2.1514858750160784,,,,train_failed,artifacts/campaigns/v1.11-logistic-planck-probes/runs/v1.11-logistic-planck-probes/v1-11-logistic-planck-probes-logistic-blind-probe-b35045193c4c.json
v1-11-logistic-planck-probes-planck-blind-probe-be823c997bf6,v1.11-logistic-planck-probes,planck-blind-probe,planck,blind,0,3,32,0,8,1,1,0.0,raw_eml,,204.99767147509263,inf,0.02095521262910277,failed,failed,failed,failed,,,blind_training,failed,,,not_repaired,,0,1,24,,,021d09cad64656081182e9fb2b8993d4e224508b48e68e774004d9c2ede861de,sources/FOR_DEMO.md,x**3/(exp(x) - 1),1.949401041958481,,,,train_failed,artifacts/campaigns/v1.11-logistic-planck-probes/runs/v1.11-logistic-planck-probes/v1-11-logistic-planck-probes-planck-blind-probe-be823c997bf6.json
