run_id,formula,start_mode,classification,status,return_kind,raw_status,repair_status,repair_verifier_status,repair_accepted_move_count,repair_candidate_root_count,repair_deduped_variant_count,repair_accepted_candidate_root_source,reason,artifact_path
v1-11-logistic-planck-probes-logistic-compile-d9b410fc6d87,logistic,compile,unsupported,unsupported,,,,,0,,,,depth_exceeded,artifacts/campaigns/v1.11-logistic-planck-probes/runs/v1.11-logistic-planck-probes/v1-11-logistic-planck-probes-logistic-compile-d9b410fc6d87.json
v1-11-logistic-planck-probes-planck-compile-9565da4ea47b,planck,compile,unsupported,unsupported,,,,,0,,,,depth_exceeded,artifacts/campaigns/v1.11-logistic-planck-probes/runs/v1.11-logistic-planck-probes/v1-11-logistic-planck-probes-planck-compile-9565da4ea47b.json
v1-11-logistic-planck-probes-logistic-blind-probe-b35045193c4c,logistic,blind,snapped_but_failed,snapped_but_failed,,,not_repaired,,0,1,8,,train_failed,artifacts/campaigns/v1.11-logistic-planck-probes/runs/v1.11-logistic-planck-probes/v1-11-logistic-planck-probes-logistic-blind-probe-b35045193c4c.json
v1-11-logistic-planck-probes-planck-blind-probe-be823c997bf6,planck,blind,failed,failed,,,not_repaired,,0,1,24,,train_failed,artifacts/campaigns/v1.11-logistic-planck-probes/runs/v1.11-logistic-planck-probes/v1-11-logistic-planck-probes-planck-blind-probe-be823c997bf6.json
