run_id,suite_id,case_id,formula,start_mode,seed,depth,steps,warm_depth,warm_steps,restarts,warm_restarts,perturbation_noise,best_loss,post_snap_loss,snap_min_margin,verifier_status,recovery_class,status,claim_status,claim_id,claim_class,training_mode,evidence_class,return_kind,raw_status,repair_status,repair_verifier_status,repair_accepted_move_count,threshold_policy,dataset_manifest_sha256,provenance_source,provenance_expression,runtime_seconds,active_slot_count,changed_slot_count,warm_start_mechanism,reason,artifact_path
v1-3-showcase-beer-perturbation-sweep-105fd696ec80,v1.3-showcase,beer-perturbation-sweep,beer_lambert,warm_start,0,2,8,0,90,1,1,2.5,3.723143583092301e-33,4.496499888230497e-32,1.0,recovered,same_ast_warm_start_return,same_ast_return,recovered,,,compiler_warm_start_training,same_ast,,,not_attempted,,0,,096497d3b72555a9e4b9f762bb704cea600f3e202d83267123c3be13707873da,sources/FOR_DEMO.md,exp(-0.8*x),15.951722832978703,18,0,same_ast_return,verified,artifacts/campaigns/v1.6-showcase/runs/v1.3-showcase/v1-3-showcase-beer-perturbation-sweep-105fd696ec80.json
v1-3-showcase-beer-perturbation-sweep-f5fb4afc3fc3,v1.3-showcase,beer-perturbation-sweep,beer_lambert,warm_start,0,2,8,0,90,1,1,5.0,3.7231435830920714e-33,4.496499888230497e-32,1.0,recovered,same_ast_warm_start_return,same_ast_return,recovered,,,compiler_warm_start_training,same_ast,,,not_attempted,,0,,096497d3b72555a9e4b9f762bb704cea600f3e202d83267123c3be13707873da,sources/FOR_DEMO.md,exp(-0.8*x),16.688304874987807,18,0,same_ast_return,verified,artifacts/campaigns/v1.6-showcase/runs/v1.3-showcase/v1-3-showcase-beer-perturbation-sweep-f5fb4afc3fc3.json
v1-3-showcase-beer-perturbation-sweep-67732a5a3921,v1.3-showcase,beer-perturbation-sweep,beer_lambert,warm_start,0,2,8,0,90,1,1,15.0,3.72263689168382e-33,4.496499888230497e-32,0.9999999996718618,recovered,same_ast_warm_start_return,same_ast_return,recovered,,,compiler_warm_start_training,same_ast,,,not_attempted,,0,,096497d3b72555a9e4b9f762bb704cea600f3e202d83267123c3be13707873da,sources/FOR_DEMO.md,exp(-0.8*x),16.211153084004764,18,0,same_ast_return,verified,artifacts/campaigns/v1.6-showcase/runs/v1.3-showcase/v1-3-showcase-beer-perturbation-sweep-67732a5a3921.json
v1-3-showcase-beer-perturbation-sweep-898774a53e8f,v1.3-showcase,beer-perturbation-sweep,beer_lambert,warm_start,0,2,8,0,90,1,1,35.0,6.918600622230206,7.2250695723031635,0.9850762204728023,failed,snapped_but_failed,snapped_but_failed,failed,,,compiler_warm_start_training,snapped_but_failed,,,not_repaired,,0,,096497d3b72555a9e4b9f762bb704cea600f3e202d83267123c3be13707873da,sources/FOR_DEMO.md,exp(-0.8*x),17.550214958027937,18,5,active_slot_perturbation,verified,artifacts/campaigns/v1.6-showcase/runs/v1.3-showcase/v1-3-showcase-beer-perturbation-sweep-898774a53e8f.json
v1-3-showcase-beer-perturbation-sweep-84c321ff4354,v1.3-showcase,beer-perturbation-sweep,beer_lambert,warm_start,1,2,8,0,90,1,1,0.0,5.2284889031135384e-33,4.542698990054559e-32,1.0,recovered,same_ast_warm_start_return,same_ast_return,recovered,,,compiler_warm_start_training,same_ast,,,not_attempted,,0,,d3074e308145e8a5e13ad2e6fcb58fd9256c0d106bf6c8f68b4d005c5c65d3f6,sources/FOR_DEMO.md,exp(-0.8*x),16.934565333998762,18,0,same_ast_return,verified,artifacts/campaigns/v1.6-showcase/runs/v1.3-showcase/v1-3-showcase-beer-perturbation-sweep-84c321ff4354.json
v1-3-showcase-beer-perturbation-sweep-2c74c6ebc8d3,v1.3-showcase,beer-perturbation-sweep,beer_lambert,warm_start,1,2,8,0,90,1,1,2.5,5.2469216860237764e-33,4.542698990054559e-32,1.0,recovered,same_ast_warm_start_return,same_ast_return,recovered,,,compiler_warm_start_training,same_ast,,,not_attempted,,0,,d3074e308145e8a5e13ad2e6fcb58fd9256c0d106bf6c8f68b4d005c5c65d3f6,sources/FOR_DEMO.md,exp(-0.8*x),16.046292416984215,18,0,same_ast_return,verified,artifacts/campaigns/v1.6-showcase/runs/v1.3-showcase/v1-3-showcase-beer-perturbation-sweep-2c74c6ebc8d3.json
v1-3-showcase-beer-perturbation-sweep-3601930f8cf8,v1.3-showcase,beer-perturbation-sweep,beer_lambert,warm_start,1,2,8,0,90,1,1,5.0,5.2362491614337876e-33,4.542698990054559e-32,0.9999999999999996,recovered,same_ast_warm_start_return,same_ast_return,recovered,,,compiler_warm_start_training,same_ast,,,not_attempted,,0,,d3074e308145e8a5e13ad2e6fcb58fd9256c0d106bf6c8f68b4d005c5c65d3f6,sources/FOR_DEMO.md,exp(-0.8*x),16.153867917018943,18,0,same_ast_return,verified,artifacts/campaigns/v1.6-showcase/runs/v1.3-showcase/v1-3-showcase-beer-perturbation-sweep-3601930f8cf8.json
v1-3-showcase-beer-perturbation-sweep-9d375abe6a37,v1.3-showcase,beer-perturbation-sweep,beer_lambert,warm_start,1,2,8,0,90,1,1,15.0,0.21509044977487604,0.21927561010523208,0.9998925939335233,failed,repaired_candidate,repaired_candidate,recovered,,,compiler_warm_start_training,repaired_candidate,,,repaired,recovered,1,,d3074e308145e8a5e13ad2e6fcb58fd9256c0d106bf6c8f68b4d005c5c65d3f6,sources/FOR_DEMO.md,exp(-0.8*x),16.609695208026096,18,1,active_slot_perturbation,verified,artifacts/campaigns/v1.6-showcase/runs/v1.3-showcase/v1-3-showcase-beer-perturbation-sweep-9d375abe6a37.json
v1-3-showcase-beer-perturbation-sweep-e461b66ca248,v1.3-showcase,beer-perturbation-sweep,beer_lambert,warm_start,1,2,8,0,90,1,1,35.0,0.21927438627985,0.21927561010523208,0.999998503035375,failed,snapped_but_failed,snapped_but_failed,failed,,,compiler_warm_start_training,snapped_but_failed,,,not_repaired,,0,,d3074e308145e8a5e13ad2e6fcb58fd9256c0d106bf6c8f68b4d005c5c65d3f6,sources/FOR_DEMO.md,exp(-0.8*x),16.506395959004294,18,3,active_slot_perturbation,verified,artifacts/campaigns/v1.6-showcase/runs/v1.3-showcase/v1-3-showcase-beer-perturbation-sweep-e461b66ca248.json
v1-3-showcase-beer-perturbation-sweep-5b9a5093b129,v1.3-showcase,beer-perturbation-sweep,beer_lambert,warm_start,2,2,8,0,90,1,1,0.0,3.606414187275868e-33,4.5030170044832595e-32,1.0,recovered,same_ast_warm_start_return,same_ast_return,recovered,,,compiler_warm_start_training,same_ast,,,not_attempted,,0,,22ffa5d94c1118d4b7e10bfee29504a17e0e5c2bc64babb4f5f1a5c68f20ccbe,sources/FOR_DEMO.md,exp(-0.8*x),16.39617229194846,18,0,same_ast_return,verified,artifacts/campaigns/v1.6-showcase/runs/v1.3-showcase/v1-3-showcase-beer-perturbation-sweep-5b9a5093b129.json
v1-3-showcase-beer-perturbation-sweep-ab6e86d19a02,v1.3-showcase,beer-perturbation-sweep,beer_lambert,warm_start,2,2,8,0,90,1,1,2.5,3.639911334691976e-33,4.5030170044832595e-32,1.0,recovered,same_ast_warm_start_return,same_ast_return,recovered,,,compiler_warm_start_training,same_ast,,,not_attempted,,0,,22ffa5d94c1118d4b7e10bfee29504a17e0e5c2bc64babb4f5f1a5c68f20ccbe,sources/FOR_DEMO.md,exp(-0.8*x),16.578742582991254,18,0,same_ast_return,verified,artifacts/campaigns/v1.6-showcase/runs/v1.3-showcase/v1-3-showcase-beer-perturbation-sweep-ab6e86d19a02.json
v1-3-showcase-beer-perturbation-sweep-2e88732ec838,v1.3-showcase,beer-perturbation-sweep,beer_lambert,warm_start,2,2,8,0,90,1,1,5.0,3.641065877826728e-33,4.5030170044832595e-32,1.0,recovered,same_ast_warm_start_return,same_ast_return,recovered,,,compiler_warm_start_training,same_ast,,,not_attempted,,0,,22ffa5d94c1118d4b7e10bfee29504a17e0e5c2bc64babb4f5f1a5c68f20ccbe,sources/FOR_DEMO.md,exp(-0.8*x),16.527633791964035,18,0,same_ast_return,verified,artifacts/campaigns/v1.6-showcase/runs/v1.3-showcase/v1-3-showcase-beer-perturbation-sweep-2e88732ec838.json
v1-3-showcase-beer-perturbation-sweep-51b555e68bc2,v1.3-showcase,beer-perturbation-sweep,beer_lambert,warm_start,2,2,8,0,90,1,1,15.0,1.2477825654752905e-27,4.5030170044832595e-32,0.9992265397663345,recovered,same_ast_warm_start_return,same_ast_return,recovered,,,compiler_warm_start_training,same_ast,,,not_attempted,,0,,22ffa5d94c1118d4b7e10bfee29504a17e0e5c2bc64babb4f5f1a5c68f20ccbe,sources/FOR_DEMO.md,exp(-0.8*x),16.168691499973647,18,0,same_ast_return,verified,artifacts/campaigns/v1.6-showcase/runs/v1.3-showcase/v1-3-showcase-beer-perturbation-sweep-51b555e68bc2.json
v1-3-showcase-beer-perturbation-sweep-9795c140e91e,v1.3-showcase,beer-perturbation-sweep,beer_lambert,warm_start,2,2,8,0,90,1,1,35.0,0.3735906412028358,0.07479189732447282,0.2836685236768934,failed,snapped_but_failed,snapped_but_failed,failed,,,compiler_warm_start_training,snapped_but_failed,,,not_repaired,,0,,22ffa5d94c1118d4b7e10bfee29504a17e0e5c2bc64babb4f5f1a5c68f20ccbe,sources/FOR_DEMO.md,exp(-0.8*x),16.481103750003967,18,7,active_slot_perturbation,verified,artifacts/campaigns/v1.6-showcase/runs/v1.3-showcase/v1-3-showcase-beer-perturbation-sweep-9795c140e91e.json
v1-3-showcase-michaelis-warm-diagnostic-137223f28fd1,v1.3-showcase,michaelis-warm-diagnostic,michaelis_menten,warm_start,0,2,8,0,90,1,1,0.0,,,,,unsupported,unsupported,unsupported,,,compiler_warm_start_training,unsupported,,,,,0,,ed0b514b76e91b981a47143e6e583f9cc342c17e88768e87819fa2b6e89141b0,sources/FOR_DEMO.md,2*x/(x + 0.5),0.08449941698927432,,,,depth_exceeded,artifacts/campaigns/v1.6-showcase/runs/v1.3-showcase/v1-3-showcase-michaelis-warm-diagnostic-137223f28fd1.json
v1-3-showcase-logistic-compile-f711ed10dbe9,v1.3-showcase,logistic-compile,logistic,compile,0,2,8,0,8,1,1,0.0,,,,,unsupported,unsupported,unsupported,,,compile_only_verification,unsupported,,,,,0,,e132c7fd8662bb7ee2597b3ab81998f0e55c26a772240a1eddd39e0dc502ac67,sources/FOR_DEMO.md,1/(1 + 2*exp(-1.3*x)),0.01974204200087115,,,,depth_exceeded,artifacts/campaigns/v1.6-showcase/runs/v1.3-showcase/v1-3-showcase-logistic-compile-f711ed10dbe9.json
v1-3-showcase-shockley-warm-2fa15c5c91e5,v1.3-showcase,shockley-warm,shockley,warm_start,0,2,8,0,1,1,1,0.0,1.1979866060425772e-30,1.1979866060425772e-30,1.0,recovered,same_ast_warm_start_return,same_ast_return,recovered,,,compiler_warm_start_training,same_ast,,,not_attempted,,0,,3009868ccb92bb446529829a4c396045d5bf85a0f5b654bcb072726781ab0478,sources/FOR_DEMO.md,0.2*exp(1.4*x) - 0.2,18.4213629590231,34,0,same_ast_return,verified,artifacts/campaigns/v1.6-showcase/runs/v1.3-showcase/v1-3-showcase-shockley-warm-2fa15c5c91e5.json
v1-3-showcase-damped-oscillator-compile-5bbd87a8b2d5,v1.3-showcase,damped-oscillator-compile,damped_oscillator,compile,0,2,8,0,8,1,1,0.0,,,,,unsupported,unsupported,unsupported,,,compile_only_verification,unsupported,,,,,0,,e4676aeae229ed7091ac2cf67d1065a3851e81a85d9292b2972023618be7db12,sources/FOR_DEMO.md,exp(-0.15*t)*cos(2.5*t + 0.2),0.026437791995704174,,,,unsupported_operator,artifacts/campaigns/v1.6-showcase/runs/v1.3-showcase/v1-3-showcase-damped-oscillator-compile-5bbd87a8b2d5.json
v1-3-showcase-planck-diagnostic-29e4faa8cb28,v1.3-showcase,planck-diagnostic,planck,compile,0,2,8,0,8,1,1,0.0,,,,,unsupported,unsupported,unsupported,,,compile_only_verification,unsupported,,,,,0,,021d09cad64656081182e9fb2b8993d4e224508b48e68e774004d9c2ede861de,sources/FOR_DEMO.md,x**3/(exp(x) - 1),0.03273104201070964,,,,depth_exceeded,artifacts/campaigns/v1.6-showcase/runs/v1.3-showcase/v1-3-showcase-planck-diagnostic-29e4faa8cb28.json
