run_id,formula,start_mode,classification,status,return_kind,raw_status,repair_status,repair_verifier_status,repair_accepted_move_count,reason,artifact_path
proof-perturbed-basin-beer-probes-basin-beer-lambert-bound-probes-e17e44438210,beer_lambert,perturbed_tree,repaired_candidate,repaired_candidate,snapped_but_failed,snapped_but_failed,repaired,recovered,6,train_failed,artifacts/proof/v1.6/campaigns/proof-basin-probes/runs/proof-perturbed-basin-beer-probes/proof-perturbed-basin-beer-probes-basin-beer-lambert-bound-probes-e17e44438210.json
proof-perturbed-basin-beer-probes-basin-beer-lambert-bound-probes-752352286603,beer_lambert,perturbed_tree,repaired_candidate,repaired_candidate,snapped_but_failed,snapped_but_failed,repaired,recovered,1,train_failed,artifacts/proof/v1.6/campaigns/proof-basin-probes/runs/proof-perturbed-basin-beer-probes/proof-perturbed-basin-beer-probes-basin-beer-lambert-bound-probes-752352286603.json
proof-perturbed-basin-beer-probes-basin-beer-lambert-bound-probes-99306eda3f85,beer_lambert,perturbed_tree,repaired_candidate,repaired_candidate,snapped_but_failed,snapped_but_failed,repaired,recovered,1,train_failed,artifacts/proof/v1.6/campaigns/proof-basin-probes/runs/proof-perturbed-basin-beer-probes/proof-perturbed-basin-beer-probes-basin-beer-lambert-bound-probes-99306eda3f85.json
