run_id,suite_id,case_id,formula,start_mode,seed,depth,steps,warm_depth,warm_steps,restarts,warm_restarts,total_restarts,perturbation_noise,operator_family,operator_schedule,best_loss,post_snap_loss,snap_min_margin,verifier_status,recovery_class,status,claim_status,verification_outcome,evidence_regime,discovery_class,warm_start_evidence,ast_return_status,claim_id,claim_class,training_mode,evidence_class,return_kind,raw_status,repair_status,repair_verifier_status,repair_accepted_move_count,repair_candidate_root_count,repair_deduped_variant_count,repair_accepted_candidate_root_source,threshold_policy,dataset_manifest_sha256,provenance_source,provenance_expression,runtime_seconds,active_slot_count,changed_slot_count,warm_start_mechanism,reason,artifact_path
v1-13-paper-tracks-exp-basis-only-compile-3063b13aa4e5,v1.13-paper-tracks,exp-basis-only-compile,exp,compile,0,2,8,0,8,1,1,0,0.0,raw_eml,,,,,recovered,verifier_recovered,recovered,recovered,recovered,compile_only_verified_support,compile_only_verified_support,not_warm_start,not_applicable,,,compile_only_verification,compile_only_verified,,,,,0,,,,,c237c6da1b08d9529271554abe841aeb1f97b3e9467fb83a6451f2727ecf4c2d,sources/paper.pdf,exp(x),0.03388091700617224,,,,verified,artifacts/paper/v1.14/linked-artifacts/campaigns/v1.14-corrected-paper-tracks/runs/v1.13-paper-tracks/v1-13-paper-tracks-exp-basis-only-compile-3063b13aa4e5.json
v1-13-paper-tracks-log-basis-only-compile-b90f584d8bb1,v1.13-paper-tracks,log-basis-only-compile,log,compile,0,2,8,0,8,1,1,0,0.0,raw_eml,,,,,,unsupported,unsupported,unsupported,unsupported,unsupported,unsupported,not_warm_start,not_applicable,,,compile_only_verification,unsupported,,,,,0,,,,,233dec39b6608f64a02052b470c118a5164ad9c81232c5a0772fb62f79feed93,sources/paper.pdf,E - log(exp(E)/x),0.10030029201880097,,,,constant_policy,artifacts/paper/v1.14/linked-artifacts/campaigns/v1.14-corrected-paper-tracks/runs/v1.13-paper-tracks/v1-13-paper-tracks-log-basis-only-compile-b90f584d8bb1.json
v1-13-paper-tracks-radioactive-decay-basis-only-compile-59cbbd644b4b,v1.13-paper-tracks,radioactive-decay-basis-only-compile,radioactive_decay,compile,0,2,8,0,8,1,1,0,0.0,raw_eml,,,,,,unsupported,unsupported,unsupported,unsupported,unsupported,unsupported,not_warm_start,not_applicable,,,compile_only_verification,unsupported,,,,,0,,,,,c8a28771cd580ccc9841ae60500a9f756b9dd196e5fd5c34f39af7d597c46b91,sources/FOR_DEMO.md,exp(-0.4*t),0.012592417071573436,,,,constant_policy,artifacts/paper/v1.14/linked-artifacts/campaigns/v1.14-corrected-paper-tracks/runs/v1.13-paper-tracks/v1-13-paper-tracks-radioactive-decay-basis-only-compile-59cbbd644b4b.json
v1-13-paper-tracks-beer-lambert-basis-only-compile-7be75ecbaa63,v1.13-paper-tracks,beer-lambert-basis-only-compile,beer_lambert,compile,0,2,8,0,8,1,1,0,0.0,raw_eml,,,,,,unsupported,unsupported,unsupported,unsupported,unsupported,unsupported,not_warm_start,not_applicable,,,compile_only_verification,unsupported,,,,,0,,,,,096497d3b72555a9e4b9f762bb704cea600f3e202d83267123c3be13707873da,sources/FOR_DEMO.md,exp(-0.8*x),0.009825792047195137,,,,constant_policy,artifacts/paper/v1.14/linked-artifacts/campaigns/v1.14-corrected-paper-tracks/runs/v1.13-paper-tracks/v1-13-paper-tracks-beer-lambert-basis-only-compile-7be75ecbaa63.json
v1-13-paper-tracks-scaled-exp-growth-basis-only-compile-6de3215052b7,v1.13-paper-tracks,scaled-exp-growth-basis-only-compile,scaled_exp_growth,compile,0,2,8,0,8,1,1,0,0.0,raw_eml,,,,,,unsupported,unsupported,unsupported,unsupported,unsupported,unsupported,not_warm_start,not_applicable,,,compile_only_verification,unsupported,,,,,0,,,,,dea8e07a578b642a83d07fddc805eae8067888318a7d0ed181a0c6272ebad3d2,sources/NORTH_STAR.md,exp(0.4*x),0.010254665976390243,,,,constant_policy,artifacts/paper/v1.14/linked-artifacts/campaigns/v1.14-corrected-paper-tracks/runs/v1.13-paper-tracks/v1-13-paper-tracks-scaled-exp-growth-basis-only-compile-6de3215052b7.json
v1-13-paper-tracks-scaled-exp-fast-decay-basis-only-compile-1b1c434047ab,v1.13-paper-tracks,scaled-exp-fast-decay-basis-only-compile,scaled_exp_fast_decay,compile,0,2,8,0,8,1,1,0,0.0,raw_eml,,,,,,unsupported,unsupported,unsupported,unsupported,unsupported,unsupported,not_warm_start,not_applicable,,,compile_only_verification,unsupported,,,,,0,,,,,5644acdf31ff5b08587f20decf2998545faa39e2542337019e9b94412c8ca2cb,sources/NORTH_STAR.md,exp(-1.2*x),0.009248291957192123,,,,constant_policy,artifacts/paper/v1.14/linked-artifacts/campaigns/v1.14-corrected-paper-tracks/runs/v1.13-paper-tracks/v1-13-paper-tracks-scaled-exp-fast-decay-basis-only-compile-1b1c434047ab.json
v1-13-paper-tracks-arrhenius-basis-only-compile-c088f39bd857,v1.13-paper-tracks,arrhenius-basis-only-compile,arrhenius,compile,0,2,8,0,8,1,1,0,0.0,raw_eml,,,,,,unsupported,unsupported,unsupported,unsupported,unsupported,unsupported,not_warm_start,not_applicable,,,compile_only_verification,unsupported,,,,,0,,,,,46c4985fa86ac8543a0c2ec869139947b0c9567671c8535e9cb921b05b3fadce,sources/FOR_DEMO.md,exp(-0.8/x),0.009797709062695503,,,,constant_policy,artifacts/paper/v1.14/linked-artifacts/campaigns/v1.14-corrected-paper-tracks/runs/v1.13-paper-tracks/v1-13-paper-tracks-arrhenius-basis-only-compile-c088f39bd857.json
v1-13-paper-tracks-michaelis-menten-basis-only-compile-c2a4f388bd95,v1.13-paper-tracks,michaelis-menten-basis-only-compile,michaelis_menten,compile,0,2,8,0,8,1,1,0,0.0,raw_eml,,,,,,unsupported,unsupported,unsupported,unsupported,unsupported,unsupported,not_warm_start,not_applicable,,,compile_only_verification,unsupported,,,,,0,,,,,ed0b514b76e91b981a47143e6e583f9cc342c17e88768e87819fa2b6e89141b0,sources/FOR_DEMO.md,2*x/(x + 0.5),0.00967758393380791,,,,constant_policy,artifacts/paper/v1.14/linked-artifacts/campaigns/v1.14-corrected-paper-tracks/runs/v1.13-paper-tracks/v1-13-paper-tracks-michaelis-menten-basis-only-compile-c2a4f388bd95.json
v1-13-paper-tracks-logistic-basis-only-compile-a32e36271e81,v1.13-paper-tracks,logistic-basis-only-compile,logistic,compile,0,2,8,0,8,1,1,0,0.0,raw_eml,,,,,,unsupported,unsupported,unsupported,unsupported,unsupported,unsupported,not_warm_start,not_applicable,,,compile_only_verification,unsupported,,,,,0,,,,,e132c7fd8662bb7ee2597b3ab81998f0e55c26a772240a1eddd39e0dc502ac67,sources/FOR_DEMO.md,1/(1 + 2*exp(-1.3*x)),0.009357125032693148,,,,constant_policy,artifacts/paper/v1.14/linked-artifacts/campaigns/v1.14-corrected-paper-tracks/runs/v1.13-paper-tracks/v1-13-paper-tracks-logistic-basis-only-compile-a32e36271e81.json
v1-13-paper-tracks-shockley-basis-only-compile-28e169b25e29,v1.13-paper-tracks,shockley-basis-only-compile,shockley,compile,0,2,8,0,8,1,1,0,0.0,raw_eml,,,,,,unsupported,unsupported,unsupported,unsupported,unsupported,unsupported,not_warm_start,not_applicable,,,compile_only_verification,unsupported,,,,,0,,,,,3009868ccb92bb446529829a4c396045d5bf85a0f5b654bcb072726781ab0478,sources/FOR_DEMO.md,0.2*exp(1.4*x) - 0.2,0.009853417053818703,,,,constant_policy,artifacts/paper/v1.14/linked-artifacts/campaigns/v1.14-corrected-paper-tracks/runs/v1.13-paper-tracks/v1-13-paper-tracks-shockley-basis-only-compile-28e169b25e29.json
v1-13-paper-tracks-damped-oscillator-basis-only-compile-19df93053992,v1.13-paper-tracks,damped-oscillator-basis-only-compile,damped_oscillator,compile,0,2,8,0,8,1,1,0,0.0,raw_eml,,,,,,unsupported,unsupported,unsupported,unsupported,unsupported,unsupported,not_warm_start,not_applicable,,,compile_only_verification,unsupported,,,,,0,,,,,e4676aeae229ed7091ac2cf67d1065a3851e81a85d9292b2972023618be7db12,sources/FOR_DEMO.md,exp(-0.15*t)*cos(2.5*t + 0.2),0.009691041079349816,,,,unsupported_operator,artifacts/paper/v1.14/linked-artifacts/campaigns/v1.14-corrected-paper-tracks/runs/v1.13-paper-tracks/v1-13-paper-tracks-damped-oscillator-basis-only-compile-19df93053992.json
v1-13-paper-tracks-planck-basis-only-compile-561b8c556ba4,v1.13-paper-tracks,planck-basis-only-compile,planck,compile,0,2,8,0,8,1,1,0,0.0,raw_eml,,,,,,unsupported,unsupported,unsupported,unsupported,unsupported,unsupported,not_warm_start,not_applicable,,,compile_only_verification,unsupported,,,,,0,,,,,021d09cad64656081182e9fb2b8993d4e224508b48e68e774004d9c2ede861de,sources/FOR_DEMO.md,x**3/(exp(x) - 1),0.009227957925759256,,,,constant_policy,artifacts/paper/v1.14/linked-artifacts/campaigns/v1.14-corrected-paper-tracks/runs/v1.13-paper-tracks/v1-13-paper-tracks-planck-basis-only-compile-561b8c556ba4.json
v1-13-paper-tracks-exp-literal-warm-9b23eed6fa6a,v1.13-paper-tracks,exp-literal-warm,exp,warm_start,0,2,8,0,1,1,1,1,0.0,raw_eml,,0.0,0.0,1.0,recovered,same_ast_warm_start_return,same_ast_return,recovered,recovered,same_ast_seed_round_trip,trained_exact_recovery,exact_seed_round_trip,same_ast,,,compiler_warm_start_training,same_ast,,,not_attempted,,0,,,,,c237c6da1b08d9529271554abe841aeb1f97b3e9467fb83a6451f2727ecf4c2d,sources/paper.pdf,exp(x),1.2761296670651063,2,0,same_ast_return,verified,artifacts/paper/v1.14/linked-artifacts/campaigns/v1.14-corrected-paper-tracks/runs/v1.13-paper-tracks/v1-13-paper-tracks-exp-literal-warm-9b23eed6fa6a.json
v1-13-paper-tracks-log-literal-warm-682593206b87,v1.13-paper-tracks,log-literal-warm,log,warm_start,0,2,8,0,1,1,1,1,0.0,raw_eml,,,,,,unsupported,unsupported,unsupported,unsupported,unsupported,unsupported,unsupported,unsupported,,,compiler_warm_start_training,unsupported,,,,,0,,,,,233dec39b6608f64a02052b470c118a5164ad9c81232c5a0772fb62f79feed93,sources/paper.pdf,E - log(exp(E)/x),0.026514708064496517,,,,depth_exceeded,artifacts/paper/v1.14/linked-artifacts/campaigns/v1.14-corrected-paper-tracks/runs/v1.13-paper-tracks/v1-13-paper-tracks-log-literal-warm-682593206b87.json
v1-13-paper-tracks-radioactive-decay-literal-warm-2c95fb8d28a3,v1.13-paper-tracks,radioactive-decay-literal-warm,radioactive_decay,warm_start,0,2,8,0,1,1,1,1,0.0,raw_eml,,6.238950433728667e-33,6.238950433728667e-33,1.0,recovered,same_ast_warm_start_return,same_ast_return,recovered,recovered,same_ast_seed_round_trip,trained_exact_recovery,exact_seed_round_trip,same_ast,,,compiler_warm_start_training,same_ast,,,not_attempted,,0,,,,,c8a28771cd580ccc9841ae60500a9f756b9dd196e5fd5c34f39af7d597c46b91,sources/FOR_DEMO.md,exp(-0.4*t),3.058815916068852,18,0,same_ast_return,verified,artifacts/paper/v1.14/linked-artifacts/campaigns/v1.14-corrected-paper-tracks/runs/v1.13-paper-tracks/v1-13-paper-tracks-radioactive-decay-literal-warm-2c95fb8d28a3.json
v1-13-paper-tracks-beer-lambert-literal-warm-6bde0341b85f,v1.13-paper-tracks,beer-lambert-literal-warm,beer_lambert,warm_start,0,2,8,0,1,1,1,1,0.0,raw_eml,,3.723143583092301e-33,4.496499888230497e-32,1.0,recovered,same_ast_warm_start_return,same_ast_return,recovered,recovered,same_ast_seed_round_trip,trained_exact_recovery,exact_seed_round_trip,same_ast,,,compiler_warm_start_training,same_ast,,,not_attempted,,0,,,,,096497d3b72555a9e4b9f762bb704cea600f3e202d83267123c3be13707873da,sources/FOR_DEMO.md,exp(-0.8*x),2.9510869160294533,18,0,same_ast_return,verified,artifacts/paper/v1.14/linked-artifacts/campaigns/v1.14-corrected-paper-tracks/runs/v1.13-paper-tracks/v1-13-paper-tracks-beer-lambert-literal-warm-6bde0341b85f.json
