run_id,formula,start_mode,classification,status,return_kind,raw_status,repair_status,repair_verifier_status,repair_accepted_move_count,reason,artifact_path
v1-3-standard-radioactive-decay-blind-89532c08e43a,radioactive_decay,blind,snapped_but_failed,snapped_but_failed,,,not_repaired,,0,mpmath_failed,artifacts/campaigns/v1.6-standard/runs/v1.3-standard/v1-3-standard-radioactive-decay-blind-89532c08e43a.json
v1-3-standard-radioactive-decay-blind-4f7c8ca23154,radioactive_decay,blind,snapped_but_failed,snapped_but_failed,,,not_repaired,,0,mpmath_failed,artifacts/campaigns/v1.6-standard/runs/v1.3-standard/v1-3-standard-radioactive-decay-blind-4f7c8ca23154.json
v1-3-standard-beer-perturbation-sweep-7ab0d86550b5,beer_lambert,warm_start,snapped_but_failed,snapped_but_failed,,,not_repaired,,0,verified,artifacts/campaigns/v1.6-standard/runs/v1.3-standard/v1-3-standard-beer-perturbation-sweep-7ab0d86550b5.json
v1-3-standard-beer-perturbation-sweep-0a5d1d92fa79,beer_lambert,warm_start,snapped_but_failed,snapped_but_failed,,,not_repaired,,0,verified,artifacts/campaigns/v1.6-standard/runs/v1.3-standard/v1-3-standard-beer-perturbation-sweep-0a5d1d92fa79.json
v1-3-standard-michaelis-warm-diagnostic-9917f8383370,michaelis_menten,warm_start,unsupported,unsupported,,,,,0,depth_exceeded,artifacts/campaigns/v1.6-standard/runs/v1.3-standard/v1-3-standard-michaelis-warm-diagnostic-9917f8383370.json
v1-3-standard-logistic-compile-a99c41f57b97,logistic,compile,unsupported,unsupported,,,,,0,depth_exceeded,artifacts/campaigns/v1.6-standard/runs/v1.3-standard/v1-3-standard-logistic-compile-a99c41f57b97.json
v1-3-standard-planck-diagnostic-2309e6363fc8,planck,compile,unsupported,unsupported,,,,,0,depth_exceeded,artifacts/campaigns/v1.6-standard/runs/v1.3-standard/v1-3-standard-planck-diagnostic-2309e6363fc8.json
