pair_id,formula,target_family,seed,start_mode,training_mode,depth,constants_policy,raw_case_id,ipi_case_id,raw_status,ipi_status,raw_verification_outcome,ipi_verification_outcome,raw_evidence_regime,ipi_evidence_regime,raw_discovery_class,ipi_discovery_class,raw_warm_start_evidence,ipi_warm_start_evidence,raw_ast_return_status,ipi_ast_return_status,raw_trained_exact_recovery,ipi_trained_exact_recovery,comparison_outcome,raw_pre_snap_mse,ipi_pre_snap_mse,raw_post_snap_mse,ipi_post_snap_mse,post_snap_mse_delta_ipi_minus_raw,raw_best_loss,ipi_best_loss,raw_gradient_l2_norm_max,ipi_gradient_l2_norm_max,raw_gradient_max_abs_max,ipi_gradient_max_abs_max,raw_exp_overflow_count,ipi_exp_overflow_count,raw_nan_count,ipi_nan_count,raw_inf_count,ipi_inf_count,raw_branch_input_count,ipi_branch_input_count,raw_branch_cut_count,ipi_branch_cut_count,raw_branch_cut_proximity_count,ipi_branch_cut_proximity_count,raw_branch_cut_crossing_count,ipi_branch_cut_crossing_count,raw_optimizer_wall_clock_seconds,ipi_optimizer_wall_clock_seconds,raw_runtime_seconds,ipi_runtime_seconds,raw_artifact_path,ipi_artifact_path
exp:seed0:depth2,exp,negative_control,0,blind,blind_training,2,literal_constants,exp-raw-blind,exp-ipi-blind,repaired_candidate,repaired_candidate,failed,failed,repaired_candidate,repaired_candidate,repaired_candidate,repaired_candidate,not_warm_start,not_warm_start,not_applicable,not_applicable,False,False,raw_lower_post_snap_mse,0.3113268104813511,2.726399042887268,0.5638625830597994,71.79304446934118,71.22918188628138,0.12249598499264491,1.046576760612318,30.29541189908041,9505.117115828009,21.206410998047957,6720.860235590202,0.0,0.0,0.0,0.0,0.0,0.0,72.0,72.0,12.0,24.0,12.0,24.0,0.0,0.0,0.04253179195802659,0.04644258297048509,0.949695875053294,0.9445857090177014,artifacts/campaigns/v1.15-geml-oscillatory-smoke/runs/v1.15-geml-oscillatory-smoke/v1-15-geml-oscillatory-smoke-exp-raw-blind-5acc64d4b218.json,artifacts/campaigns/v1.15-geml-oscillatory-smoke/runs/v1.15-geml-oscillatory-smoke/v1-15-geml-oscillatory-smoke-exp-ipi-blind-a38affbc171c.json
sin_pi:seed0:depth3,sin_pi,periodic,0,blind,blind_training,3,literal_constants,sin-pi-raw-blind,sin-pi-ipi-blind,snapped_but_failed,snapped_but_failed,failed,failed,snapped_but_failed,snapped_but_failed,failed,failed,not_warm_start,not_warm_start,not_applicable,not_applicable,False,False,ipi_lower_post_snap_mse,2.9475289809869776,0.4791406818047513,0.6535512891542574,0.4776427646613734,-0.17590852449288402,0.7111489464540238,0.7332548254585681,14399.694260683938,7.023135344426269,7513.112515731366,4.96855470945392,0.0,0.0,0.0,0.0,0.0,0.0,168.0,168.0,12.0,12.0,12.0,13.0,0.0,0.0,0.3220351249910891,0.13776433293242007,2.412434499943629,1.4893132499419153,artifacts/campaigns/v1.15-geml-oscillatory-smoke/runs/v1.15-geml-oscillatory-smoke/v1-15-geml-oscillatory-smoke-sin-pi-raw-blind-70170745a2b0.json,artifacts/campaigns/v1.15-geml-oscillatory-smoke/runs/v1.15-geml-oscillatory-smoke/v1-15-geml-oscillatory-smoke-sin-pi-ipi-blind-ea7864a411cc.json
