operator_family,operator_schedule,formula,start_mode,training_mode,depth,total,verifier_recovered,same_ast_return,verified_equivalent_ast,unsupported,failed,execution_error,verifier_recovery_rate,unsupported_rate,failure_rate,post_snap_verifier_pass_rate,median_best_loss,median_post_snap_loss,median_runtime_seconds,median_active_node_count,median_candidate_complexity
ipi_eml,fixed,exp,blind,blind_training,2,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.046576760612318,71.79304446934118,0.9445857090177014,5.0,
ipi_eml,fixed,sin_pi,blind,blind_training,3,1,0,0,0,0,1,0,0.0,0.0,1.0,0.0,0.7332548254585681,0.4776427646613734,1.4893132499419153,7.0,
raw_eml,fixed,exp,blind,blind_training,2,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.12249598499264491,0.5638625830597994,0.949695875053294,5.0,
raw_eml,fixed,sin_pi,blind,blind_training,3,1,0,0,0,0,1,0,0.0,0.0,1.0,0.0,0.7111489464540238,0.6535512891542574,2.412434499943629,5.0,
