run_id,suite_id,case_id,formula,start_mode,seed,depth,steps,warm_depth,warm_steps,restarts,warm_restarts,total_restarts,perturbation_noise,operator_family,operator_schedule,best_loss,pre_snap_mse,post_snap_loss,post_snap_mse,gradient_l2_norm_max,gradient_max_abs_max,snap_min_margin,verifier_status,recovery_class,status,claim_status,verification_outcome,evidence_regime,discovery_class,warm_start_evidence,ast_return_status,claim_id,claim_class,training_mode,evidence_class,return_kind,raw_status,repair_status,repair_verifier_status,repair_accepted_move_count,repair_candidate_root_count,repair_deduped_variant_count,repair_accepted_candidate_root_source,threshold_policy,dataset_manifest_sha256,provenance_source,provenance_expression,runtime_seconds,optimizer_wall_clock_seconds,optimizer_attempt_count,optimizer_candidate_count,anomaly_nan_count,anomaly_inf_count,anomaly_exp_overflow_count,anomaly_log_branch_cut_count,anomaly_log_branch_cut_proximity_count,anomaly_log_branch_cut_crossing_count,anomaly_branch_input_count,branch_diagnostics_status,branch_failure_class,active_slot_count,changed_slot_count,warm_start_mechanism,reason,artifact_path
v1-15-geml-oscillatory-smoke-sin-pi-raw-blind-70170745a2b0,v1.15-geml-oscillatory-smoke,sin-pi-raw-blind,sin_pi,blind,0,3,24,0,8,1,1,1,0.0,raw_eml,,0.7111489464540238,2.9475289809869776,0.6535512891542574,0.6535512891542574,14399.694260683938,7513.112515731366,0.1859575508035472,failed,snapped_but_failed,snapped_but_failed,failed,failed,snapped_but_failed,failed,not_warm_start,not_applicable,,,blind_training,snapped_but_failed,,,not_repaired,,0,1,24,,,0570fd468d9ea908be847b13ca3e6178ae663db4e287056b3b4179412a51dd28,.planning/ROADMAP.md,sin(pi*x),2.412434499943629,0.3220351249910891,1,4,0,0,0,12,12,0,168,performed,not_branch_related,,,,train_failed,artifacts/campaigns/v1.15-geml-oscillatory-smoke/runs/v1.15-geml-oscillatory-smoke/v1-15-geml-oscillatory-smoke-sin-pi-raw-blind-70170745a2b0.json
v1-15-geml-oscillatory-smoke-sin-pi-ipi-blind-ea7864a411cc,v1.15-geml-oscillatory-smoke,sin-pi-ipi-blind,sin_pi,blind,0,3,24,0,8,1,1,1,0.0,ipi_eml,,0.7332548254585681,0.4791406818047513,0.4776427646613734,0.4776427646613734,7.023135344426269,4.96855470945392,0.06334178472803376,failed,snapped_but_failed,snapped_but_failed,failed,failed,snapped_but_failed,failed,not_warm_start,not_applicable,,,blind_training,snapped_but_failed,,,not_repaired,,0,1,32,,,0570fd468d9ea908be847b13ca3e6178ae663db4e287056b3b4179412a51dd28,.planning/ROADMAP.md,sin(pi*x),1.4893132499419153,0.13776433293242007,1,4,0,0,0,12,13,0,168,performed,branch_related,,,,train_failed,artifacts/campaigns/v1.15-geml-oscillatory-smoke/runs/v1.15-geml-oscillatory-smoke/v1-15-geml-oscillatory-smoke-sin-pi-ipi-blind-ea7864a411cc.json
v1-15-geml-oscillatory-smoke-exp-raw-blind-5acc64d4b218,v1.15-geml-oscillatory-smoke,exp-raw-blind,exp,blind,0,2,24,0,8,1,1,1,0.0,raw_eml,,0.12249598499264491,0.3113268104813511,0.5638625830597994,0.5638625830597994,30.29541189908041,21.206410998047957,0.15725782753187378,failed,repaired_candidate,repaired_candidate,recovered,failed,repaired_candidate,repaired_candidate,not_warm_start,not_applicable,,,blind_training,repaired_candidate,,,repaired,recovered,2,1,15,selected,,c237c6da1b08d9529271554abe841aeb1f97b3e9467fb83a6451f2727ecf4c2d,sources/paper.pdf,exp(x),0.949695875053294,0.04253179195802659,1,4,0,0,0,12,12,0,72,performed,branch_related,,,,train_failed,artifacts/campaigns/v1.15-geml-oscillatory-smoke/runs/v1.15-geml-oscillatory-smoke/v1-15-geml-oscillatory-smoke-exp-raw-blind-5acc64d4b218.json
v1-15-geml-oscillatory-smoke-exp-ipi-blind-a38affbc171c,v1.15-geml-oscillatory-smoke,exp-ipi-blind,exp,blind,0,2,24,0,8,1,1,1,0.0,ipi_eml,,1.046576760612318,2.726399042887268,71.79304446934118,71.79304446934118,9505.117115828009,6720.860235590202,0.01759074204040839,failed,repaired_candidate,repaired_candidate,recovered,failed,repaired_candidate,repaired_candidate,not_warm_start,not_applicable,,,blind_training,repaired_candidate,,,repaired,recovered,1,1,15,selected,,c237c6da1b08d9529271554abe841aeb1f97b3e9467fb83a6451f2727ecf4c2d,sources/paper.pdf,exp(x),0.9445857090177014,0.04644258297048509,1,4,0,0,0,24,24,0,72,performed,branch_related,,,,train_failed,artifacts/campaigns/v1.15-geml-oscillatory-smoke/runs/v1.15-geml-oscillatory-smoke/v1-15-geml-oscillatory-smoke-exp-ipi-blind-a38affbc171c.json
