run_id,formula,start_mode,classification,status,return_kind,raw_status,repair_status,repair_verifier_status,repair_accepted_move_count,repair_candidate_root_count,repair_deduped_variant_count,repair_accepted_candidate_root_source,reason,artifact_path
v1-13-paper-tracks-log-basis-only-compile-b90f584d8bb1,log,compile,unsupported,unsupported,,,,,0,,,,constant_policy,artifacts/campaigns/v1.13-paper-tracks-final/runs/v1.13-paper-tracks/v1-13-paper-tracks-log-basis-only-compile-b90f584d8bb1.json
v1-13-paper-tracks-radioactive-decay-basis-only-compile-59cbbd644b4b,radioactive_decay,compile,unsupported,unsupported,,,,,0,,,,constant_policy,artifacts/campaigns/v1.13-paper-tracks-final/runs/v1.13-paper-tracks/v1-13-paper-tracks-radioactive-decay-basis-only-compile-59cbbd644b4b.json
v1-13-paper-tracks-beer-lambert-basis-only-compile-7be75ecbaa63,beer_lambert,compile,unsupported,unsupported,,,,,0,,,,constant_policy,artifacts/campaigns/v1.13-paper-tracks-final/runs/v1.13-paper-tracks/v1-13-paper-tracks-beer-lambert-basis-only-compile-7be75ecbaa63.json
v1-13-paper-tracks-scaled-exp-growth-basis-only-compile-6de3215052b7,scaled_exp_growth,compile,unsupported,unsupported,,,,,0,,,,constant_policy,artifacts/campaigns/v1.13-paper-tracks-final/runs/v1.13-paper-tracks/v1-13-paper-tracks-scaled-exp-growth-basis-only-compile-6de3215052b7.json
v1-13-paper-tracks-scaled-exp-fast-decay-basis-only-compile-1b1c434047ab,scaled_exp_fast_decay,compile,unsupported,unsupported,,,,,0,,,,constant_policy,artifacts/campaigns/v1.13-paper-tracks-final/runs/v1.13-paper-tracks/v1-13-paper-tracks-scaled-exp-fast-decay-basis-only-compile-1b1c434047ab.json
v1-13-paper-tracks-arrhenius-basis-only-compile-c088f39bd857,arrhenius,compile,unsupported,unsupported,,,,,0,,,,constant_policy,artifacts/campaigns/v1.13-paper-tracks-final/runs/v1.13-paper-tracks/v1-13-paper-tracks-arrhenius-basis-only-compile-c088f39bd857.json
v1-13-paper-tracks-michaelis-menten-basis-only-compile-c2a4f388bd95,michaelis_menten,compile,unsupported,unsupported,,,,,0,,,,constant_policy,artifacts/campaigns/v1.13-paper-tracks-final/runs/v1.13-paper-tracks/v1-13-paper-tracks-michaelis-menten-basis-only-compile-c2a4f388bd95.json
v1-13-paper-tracks-logistic-basis-only-compile-a32e36271e81,logistic,compile,unsupported,unsupported,,,,,0,,,,constant_policy,artifacts/campaigns/v1.13-paper-tracks-final/runs/v1.13-paper-tracks/v1-13-paper-tracks-logistic-basis-only-compile-a32e36271e81.json
v1-13-paper-tracks-shockley-basis-only-compile-28e169b25e29,shockley,compile,unsupported,unsupported,,,,,0,,,,constant_policy,artifacts/campaigns/v1.13-paper-tracks-final/runs/v1.13-paper-tracks/v1-13-paper-tracks-shockley-basis-only-compile-28e169b25e29.json
v1-13-paper-tracks-damped-oscillator-basis-only-compile-19df93053992,damped_oscillator,compile,unsupported,unsupported,,,,,0,,,,unsupported_operator,artifacts/campaigns/v1.13-paper-tracks-final/runs/v1.13-paper-tracks/v1-13-paper-tracks-damped-oscillator-basis-only-compile-19df93053992.json
v1-13-paper-tracks-planck-basis-only-compile-561b8c556ba4,planck,compile,unsupported,unsupported,,,,,0,,,,constant_policy,artifacts/campaigns/v1.13-paper-tracks-final/runs/v1.13-paper-tracks/v1-13-paper-tracks-planck-basis-only-compile-561b8c556ba4.json
v1-13-paper-tracks-log-literal-warm-682593206b87,log,warm_start,unsupported,unsupported,,,,,0,,,,depth_exceeded,artifacts/campaigns/v1.13-paper-tracks-final/runs/v1.13-paper-tracks/v1-13-paper-tracks-log-literal-warm-682593206b87.json
v1-13-paper-tracks-logistic-literal-warm-9ea281dbf3ec,logistic,warm_start,unsupported,unsupported,,,,,0,,,,depth_exceeded,artifacts/campaigns/v1.13-paper-tracks-final/runs/v1.13-paper-tracks/v1-13-paper-tracks-logistic-literal-warm-9ea281dbf3ec.json
v1-13-paper-tracks-damped-oscillator-literal-warm-4ac09e7e05b3,damped_oscillator,warm_start,unsupported,unsupported,,,,,0,,,,unsupported_operator,artifacts/campaigns/v1.13-paper-tracks-final/runs/v1.13-paper-tracks/v1-13-paper-tracks-damped-oscillator-literal-warm-4ac09e7e05b3.json
v1-13-paper-tracks-planck-literal-warm-00693e8cb013,planck,warm_start,unsupported,unsupported,,,,,0,,,,depth_exceeded,artifacts/campaigns/v1.13-paper-tracks-final/runs/v1.13-paper-tracks/v1-13-paper-tracks-planck-literal-warm-00693e8cb013.json
