run_id,suite_id,case_id,formula,start_mode,seed,depth,steps,warm_depth,warm_steps,restarts,warm_restarts,perturbation_noise,best_loss,post_snap_loss,snap_min_margin,verifier_status,recovery_class,status,claim_status,runtime_seconds,active_slot_count,changed_slot_count,warm_start_mechanism,reason,artifact_path
v1-3-showcase-beer-perturbation-sweep-ed542eadbeb0,v1.3-showcase,beer-perturbation-sweep,beer_lambert,warm_start,1,2,8,0,90,1,1,2.5,5.2469216860237764e-33,4.542698990054559e-32,1.0,recovered,same_ast_warm_start_return,same_ast_return,recovered,12.680895709025208,18,0,same_ast_return,verified,artifacts/campaigns/v1.4-showcase/runs/v1.3-showcase/v1-3-showcase-beer-perturbation-sweep-ed542eadbeb0.json
v1-3-showcase-beer-perturbation-sweep-20388cb78c9d,v1.3-showcase,beer-perturbation-sweep,beer_lambert,warm_start,1,2,8,0,90,1,1,5.0,5.2362491614337876e-33,4.542698990054559e-32,0.9999999999999996,recovered,same_ast_warm_start_return,same_ast_return,recovered,12.898120124998968,18,0,same_ast_return,verified,artifacts/campaigns/v1.4-showcase/runs/v1.3-showcase/v1-3-showcase-beer-perturbation-sweep-20388cb78c9d.json
v1-3-showcase-beer-perturbation-sweep-56c113f0e392,v1.3-showcase,beer-perturbation-sweep,beer_lambert,warm_start,1,2,8,0,90,1,1,15.0,0.21509044977487604,0.21927561010523208,0.9998926154620775,failed,snapped_but_failed,snapped_but_failed,failed,13.249491708993446,18,1,active_slot_perturbation,verified,artifacts/campaigns/v1.4-showcase/runs/v1.3-showcase/v1-3-showcase-beer-perturbation-sweep-56c113f0e392.json
v1-3-showcase-beer-perturbation-sweep-2acd7b37ee9f,v1.3-showcase,beer-perturbation-sweep,beer_lambert,warm_start,1,2,8,0,90,1,1,35.0,0.21927438627985,0.21927561010523208,0.9999985028118887,failed,snapped_but_failed,snapped_but_failed,failed,13.151537999976426,18,3,active_slot_perturbation,verified,artifacts/campaigns/v1.4-showcase/runs/v1.3-showcase/v1-3-showcase-beer-perturbation-sweep-2acd7b37ee9f.json
v1-3-showcase-beer-perturbation-sweep-f11f07ab5477,v1.3-showcase,beer-perturbation-sweep,beer_lambert,warm_start,2,2,8,0,90,1,1,0.0,3.606414187275868e-33,4.5030170044832595e-32,1.0,recovered,same_ast_warm_start_return,same_ast_return,recovered,13.055561166023836,18,0,same_ast_return,verified,artifacts/campaigns/v1.4-showcase/runs/v1.3-showcase/v1-3-showcase-beer-perturbation-sweep-f11f07ab5477.json
v1-3-showcase-beer-perturbation-sweep-d8563b7ff680,v1.3-showcase,beer-perturbation-sweep,beer_lambert,warm_start,2,2,8,0,90,1,1,2.5,3.639911334691976e-33,4.5030170044832595e-32,1.0,recovered,same_ast_warm_start_return,same_ast_return,recovered,12.784395750029944,18,0,same_ast_return,verified,artifacts/campaigns/v1.4-showcase/runs/v1.3-showcase/v1-3-showcase-beer-perturbation-sweep-d8563b7ff680.json
v1-3-showcase-beer-perturbation-sweep-09e504e576e9,v1.3-showcase,beer-perturbation-sweep,beer_lambert,warm_start,2,2,8,0,90,1,1,5.0,3.641065877826728e-33,4.5030170044832595e-32,1.0,recovered,same_ast_warm_start_return,same_ast_return,recovered,12.97740720800357,18,0,same_ast_return,verified,artifacts/campaigns/v1.4-showcase/runs/v1.3-showcase/v1-3-showcase-beer-perturbation-sweep-09e504e576e9.json
v1-3-showcase-beer-perturbation-sweep-6e963c8bca4f,v1.3-showcase,beer-perturbation-sweep,beer_lambert,warm_start,2,2,8,0,90,1,1,15.0,1.2477825654752905e-27,4.5030170044832595e-32,0.9992264579971132,recovered,same_ast_warm_start_return,same_ast_return,recovered,13.204851916991174,18,0,same_ast_return,verified,artifacts/campaigns/v1.4-showcase/runs/v1.3-showcase/v1-3-showcase-beer-perturbation-sweep-6e963c8bca4f.json
v1-3-showcase-beer-perturbation-sweep-f83ffd7672b5,v1.3-showcase,beer-perturbation-sweep,beer_lambert,warm_start,2,2,8,0,90,1,1,35.0,0.3735906412028358,0.07479189732447282,0.27431234111108455,failed,snapped_but_failed,snapped_but_failed,failed,12.892794416984543,18,7,active_slot_perturbation,verified,artifacts/campaigns/v1.4-showcase/runs/v1.3-showcase/v1-3-showcase-beer-perturbation-sweep-f83ffd7672b5.json
v1-3-showcase-michaelis-warm-diagnostic-cb89f09c390e,v1.3-showcase,michaelis-warm-diagnostic,michaelis_menten,warm_start,0,2,8,0,90,1,1,0.0,,,,,unsupported,unsupported,unsupported,0.016813167021609843,,,,depth_exceeded,artifacts/campaigns/v1.4-showcase/runs/v1.3-showcase/v1-3-showcase-michaelis-warm-diagnostic-cb89f09c390e.json
v1-3-showcase-logistic-compile-4792983fd836,v1.3-showcase,logistic-compile,logistic,compile,0,2,8,0,8,1,1,0.0,,,,,unsupported,unsupported,unsupported,0.014028790988959372,,,,depth_exceeded,artifacts/campaigns/v1.4-showcase/runs/v1.3-showcase/v1-3-showcase-logistic-compile-4792983fd836.json
v1-3-showcase-shockley-compile-8e2473a415b0,v1.3-showcase,shockley-compile,shockley,compile,0,2,8,0,8,1,1,0.0,,,,recovered,verifier_recovered,recovered,recovered,0.023744957987219095,,,,verified,artifacts/campaigns/v1.4-showcase/runs/v1.3-showcase/v1-3-showcase-shockley-compile-8e2473a415b0.json
v1-3-showcase-damped-oscillator-compile-cdce11ebc3e2,v1.3-showcase,damped-oscillator-compile,damped_oscillator,compile,0,2,8,0,8,1,1,0.0,,,,,unsupported,unsupported,unsupported,0.008885833027306944,,,,unsupported_operator,artifacts/campaigns/v1.4-showcase/runs/v1.3-showcase/v1-3-showcase-damped-oscillator-compile-cdce11ebc3e2.json
v1-3-showcase-planck-diagnostic-46fe96170216,v1.3-showcase,planck-diagnostic,planck,compile,0,2,8,0,8,1,1,0.0,,,,,unsupported,unsupported,unsupported,0.01119704102165997,,,,depth_exceeded,artifacts/campaigns/v1.4-showcase/runs/v1.3-showcase/v1-3-showcase-planck-diagnostic-46fe96170216.json
