run_id,formula,start_mode,classification,status,return_kind,raw_status,repair_status,repair_verifier_status,repair_accepted_move_count,reason,artifact_path
proof-perturbed-basin-beer-probes-basin-beer-lambert-bound-probes-6a284155128b,beer_lambert,perturbed_tree,repaired_candidate,repaired_candidate,snapped_but_failed,snapped_but_failed,repaired,recovered,6,mpmath_failed,artifacts/proof/v1.5/campaigns/proof-basin-probes/runs/proof-perturbed-basin-beer-probes/proof-perturbed-basin-beer-probes-basin-beer-lambert-bound-probes-6a284155128b.json
proof-perturbed-basin-beer-probes-basin-beer-lambert-bound-probes-ad931dbdc4c2,beer_lambert,perturbed_tree,repaired_candidate,repaired_candidate,snapped_but_failed,snapped_but_failed,repaired,recovered,1,mpmath_failed,artifacts/proof/v1.5/campaigns/proof-basin-probes/runs/proof-perturbed-basin-beer-probes/proof-perturbed-basin-beer-probes-basin-beer-lambert-bound-probes-ad931dbdc4c2.json
proof-perturbed-basin-beer-probes-basin-beer-lambert-bound-probes-dc2f5b284504,beer_lambert,perturbed_tree,repaired_candidate,repaired_candidate,snapped_but_failed,snapped_but_failed,repaired,recovered,1,mpmath_failed,artifacts/proof/v1.5/campaigns/proof-basin-probes/runs/proof-perturbed-basin-beer-probes/proof-perturbed-basin-beer-probes-basin-beer-lambert-bound-probes-dc2f5b284504.json
