group,total,verifier_recovered,same_ast_return,verified_equivalent_ast,unsupported,failed,execution_error,verifier_recovery_rate,unsupported_rate,failure_rate
beer_lambert,1,1,1,0,0,0,0,1.0,0.0,0.0
exp,1,0,0,0,0,1,0,0.0,0.0,1.0
planck,1,0,0,0,1,0,0,0.0,1.0,0.0
