run_id,suite_id,case_id,formula,start_mode,seed,depth,steps,warm_depth,warm_steps,restarts,warm_restarts,perturbation_noise,best_loss,post_snap_loss,snap_min_margin,verifier_status,recovery_class,status,claim_status,runtime_seconds,active_slot_count,changed_slot_count,reason,artifact_path
smoke-exp-blind-44cae09389c3,smoke,exp-blind,exp,blind,0,1,6,0,8,1,1,0.0,6.593563826826581,6.65026006217893,0.06683857944817112,failed,snapped_but_failed,snapped_but_failed,failed,0.4129557500127703,,,mpmath_failed,artifacts/campaigns/v1.3-smoke/runs/smoke/smoke-exp-blind-44cae09389c3.json
smoke-beer-warm-35bbd89a434a,smoke,beer-warm,beer_lambert,warm_start,0,2,8,0,1,1,1,0.0,3.723143583092301e-33,4.496499888230497e-32,1.0,recovered,same_ast_warm_start_return,same_ast_return,recovered,0.2740509169525467,18,0,verified,artifacts/campaigns/v1.3-smoke/runs/smoke/smoke-beer-warm-35bbd89a434a.json
smoke-planck-diagnostic-aaf175aaa0f7,smoke,planck-diagnostic,planck,compile,0,2,8,0,8,1,1,0.0,,,,,unsupported,unsupported,unsupported,0.015337709046434611,,,depth_exceeded,artifacts/campaigns/v1.3-smoke/runs/smoke/smoke-planck-diagnostic-aaf175aaa0f7.json
