run_id,suite_id,case_id,formula,start_mode,seed,depth,steps,warm_depth,warm_steps,restarts,warm_restarts,total_restarts,perturbation_noise,operator_family,operator_schedule,best_loss,pre_snap_mse,post_snap_loss,post_snap_mse,post_snap_minus_soft_best,post_snap_minus_pre_snap,gradient_l2_norm_max,gradient_max_abs_max,snap_min_margin,snap_active_node_count,snap_low_margin_slot_count,snap_lowest_margin_slots_json,snap_low_confidence_alternatives_json,selected_candidate_id,fallback_candidate_id,selection_mode,candidate_pool_size,fallback_snap_min_margin,fallback_snap_active_node_count,fallback_low_margin_slot_count,fallback_lowest_margin_slots_json,fallback_low_confidence_alternatives_json,verifier_status,recovery_class,status,claim_status,verification_outcome,evidence_regime,discovery_class,warm_start_evidence,ast_return_status,claim_id,claim_class,training_mode,evidence_class,return_kind,raw_status,repair_status,repair_verifier_status,repair_accepted_move_count,repair_candidate_root_count,repair_deduped_variant_count,repair_accepted_candidate_root_source,threshold_policy,dataset_manifest_sha256,provenance_source,provenance_expression,runtime_seconds,optimizer_wall_clock_seconds,optimizer_attempt_count,optimizer_candidate_count,anomaly_nan_count,anomaly_inf_count,anomaly_exp_overflow_count,anomaly_log_branch_cut_count,anomaly_log_branch_cut_proximity_count,anomaly_log_branch_cut_crossing_count,anomaly_branch_input_count,branch_diagnostics_status,branch_failure_class,active_slot_count,changed_slot_count,warm_start_mechanism,reason,artifact_path
v1-13-paper-tracks-exp-basis-only-compile-af02888f5ef5,v1.13-paper-tracks,exp-basis-only-compile,exp,compile,0,2,8,0,8,1,1,0,0.0,raw_eml,,,,,,,,,,,,,,,,,,,,,,,,recovered,verifier_recovered,recovered,recovered,recovered,compile_only_verified_support,compile_only_verified_support,not_warm_start,not_applicable,,,compile_only_verification,compile_only_verified,,,,,0,,,,,be4d81e5e3b1e6aa69e40550c33bc36fe53941123b7d84a306024ea43b070494,sources/paper.pdf,exp(x),0.15028129999700468,,,,,,,,,,,performed,not_failed,,,,verified,artifacts\campaigns\current-paper-tracks\runs\v1.13-paper-tracks\v1-13-paper-tracks-exp-basis-only-compile-af02888f5ef5.json
v1-13-paper-tracks-log-basis-only-compile-32f1f1ecb80c,v1.13-paper-tracks,log-basis-only-compile,log,compile,0,2,8,0,8,1,1,0,0.0,raw_eml,,,,,,,,,,,,,,,,,,,,,,,,,unsupported,unsupported,unsupported,unsupported,unsupported,unsupported,not_warm_start,not_applicable,,,compile_only_verification,unsupported,,,,,0,,,,,233dec39b6608f64a02052b470c118a5164ad9c81232c5a0772fb62f79feed93,sources/paper.pdf,E - log(exp(E)/x),0.15932049999537412,,,,,,,,,,,,,,,,constant_policy,artifacts\campaigns\current-paper-tracks\runs\v1.13-paper-tracks\v1-13-paper-tracks-log-basis-only-compile-32f1f1ecb80c.json
v1-13-paper-tracks-radioactive-decay-basis-only-compile-ebe90922f383,v1.13-paper-tracks,radioactive-decay-basis-only-compile,radioactive_decay,compile,0,2,8,0,8,1,1,0,0.0,raw_eml,,,,,,,,,,,,,,,,,,,,,,,,,unsupported,unsupported,unsupported,unsupported,unsupported,unsupported,not_warm_start,not_applicable,,,compile_only_verification,unsupported,,,,,0,,,,,b237d9e82b291eba0ede8753f617cbbe1e862ed2e6c333ae3c3ef1b80382dc76,sources/FOR_DEMO.md,exp(-0.4*t),0.05803720001131296,,,,,,,,,,,,,,,,constant_policy,artifacts\campaigns\current-paper-tracks\runs\v1.13-paper-tracks\v1-13-paper-tracks-radioactive-decay-basis-only-compile-ebe90922f383.json
v1-13-paper-tracks-beer-lambert-basis-only-compile-69e15fc06bef,v1.13-paper-tracks,beer-lambert-basis-only-compile,beer_lambert,compile,0,2,8,0,8,1,1,0,0.0,raw_eml,,,,,,,,,,,,,,,,,,,,,,,,,unsupported,unsupported,unsupported,unsupported,unsupported,unsupported,not_warm_start,not_applicable,,,compile_only_verification,unsupported,,,,,0,,,,,096497d3b72555a9e4b9f762bb704cea600f3e202d83267123c3be13707873da,sources/FOR_DEMO.md,exp(-0.8*x),0.05174759999499656,,,,,,,,,,,,,,,,constant_policy,artifacts\campaigns\current-paper-tracks\runs\v1.13-paper-tracks\v1-13-paper-tracks-beer-lambert-basis-only-compile-69e15fc06bef.json
v1-13-paper-tracks-scaled-exp-growth-basis-only-compile-6036bc33a562,v1.13-paper-tracks,scaled-exp-growth-basis-only-compile,scaled_exp_growth,compile,0,2,8,0,8,1,1,0,0.0,raw_eml,,,,,,,,,,,,,,,,,,,,,,,,,unsupported,unsupported,unsupported,unsupported,unsupported,unsupported,not_warm_start,not_applicable,,,compile_only_verification,unsupported,,,,,0,,,,,dea8e07a578b642a83d07fddc805eae8067888318a7d0ed181a0c6272ebad3d2,sources/NORTH_STAR.md,exp(0.4*x),0.05199140000331681,,,,,,,,,,,,,,,,constant_policy,artifacts\campaigns\current-paper-tracks\runs\v1.13-paper-tracks\v1-13-paper-tracks-scaled-exp-growth-basis-only-compile-6036bc33a562.json
v1-13-paper-tracks-scaled-exp-fast-decay-basis-only-compile-1f7a12b07d05,v1.13-paper-tracks,scaled-exp-fast-decay-basis-only-compile,scaled_exp_fast_decay,compile,0,2,8,0,8,1,1,0,0.0,raw_eml,,,,,,,,,,,,,,,,,,,,,,,,,unsupported,unsupported,unsupported,unsupported,unsupported,unsupported,not_warm_start,not_applicable,,,compile_only_verification,unsupported,,,,,0,,,,,5644acdf31ff5b08587f20decf2998545faa39e2542337019e9b94412c8ca2cb,sources/NORTH_STAR.md,exp(-1.2*x),0.047074100002646446,,,,,,,,,,,,,,,,constant_policy,artifacts\campaigns\current-paper-tracks\runs\v1.13-paper-tracks\v1-13-paper-tracks-scaled-exp-fast-decay-basis-only-compile-1f7a12b07d05.json
v1-13-paper-tracks-arrhenius-basis-only-compile-fc0729d1e8c7,v1.13-paper-tracks,arrhenius-basis-only-compile,arrhenius,compile,0,2,8,0,8,1,1,0,0.0,raw_eml,,,,,,,,,,,,,,,,,,,,,,,,,unsupported,unsupported,unsupported,unsupported,unsupported,unsupported,not_warm_start,not_applicable,,,compile_only_verification,unsupported,,,,,0,,,,,46c4985fa86ac8543a0c2ec869139947b0c9567671c8535e9cb921b05b3fadce,sources/FOR_DEMO.md,exp(-0.8/x),0.05865289999928791,,,,,,,,,,,,,,,,constant_policy,artifacts\campaigns\current-paper-tracks\runs\v1.13-paper-tracks\v1-13-paper-tracks-arrhenius-basis-only-compile-fc0729d1e8c7.json
v1-13-paper-tracks-michaelis-menten-basis-only-compile-2309755498fa,v1.13-paper-tracks,michaelis-menten-basis-only-compile,michaelis_menten,compile,0,2,8,0,8,1,1,0,0.0,raw_eml,,,,,,,,,,,,,,,,,,,,,,,,,unsupported,unsupported,unsupported,unsupported,unsupported,unsupported,not_warm_start,not_applicable,,,compile_only_verification,unsupported,,,,,0,,,,,ed0b514b76e91b981a47143e6e583f9cc342c17e88768e87819fa2b6e89141b0,sources/FOR_DEMO.md,2*x/(x + 0.5),0.046660899999551475,,,,,,,,,,,,,,,,constant_policy,artifacts\campaigns\current-paper-tracks\runs\v1.13-paper-tracks\v1-13-paper-tracks-michaelis-menten-basis-only-compile-2309755498fa.json
v1-13-paper-tracks-logistic-basis-only-compile-ef8ffeed064f,v1.13-paper-tracks,logistic-basis-only-compile,logistic,compile,0,2,8,0,8,1,1,0,0.0,raw_eml,,,,,,,,,,,,,,,,,,,,,,,,,unsupported,unsupported,unsupported,unsupported,unsupported,unsupported,not_warm_start,not_applicable,,,compile_only_verification,unsupported,,,,,0,,,,,e132c7fd8662bb7ee2597b3ab81998f0e55c26a772240a1eddd39e0dc502ac67,sources/FOR_DEMO.md,1/(1 + 2*exp(-1.3*x)),0.07017439999617636,,,,,,,,,,,,,,,,constant_policy,artifacts\campaigns\current-paper-tracks\runs\v1.13-paper-tracks\v1-13-paper-tracks-logistic-basis-only-compile-ef8ffeed064f.json
v1-13-paper-tracks-shockley-basis-only-compile-dc9d2db8a8d6,v1.13-paper-tracks,shockley-basis-only-compile,shockley,compile,0,2,8,0,8,1,1,0,0.0,raw_eml,,,,,,,,,,,,,,,,,,,,,,,,,unsupported,unsupported,unsupported,unsupported,unsupported,unsupported,not_warm_start,not_applicable,,,compile_only_verification,unsupported,,,,,0,,,,,3009868ccb92bb446529829a4c396045d5bf85a0f5b654bcb072726781ab0478,sources/FOR_DEMO.md,0.2*exp(1.4*x) - 0.2,0.05141929999808781,,,,,,,,,,,,,,,,constant_policy,artifacts\campaigns\current-paper-tracks\runs\v1.13-paper-tracks\v1-13-paper-tracks-shockley-basis-only-compile-dc9d2db8a8d6.json
