run_id,suite_id,case_id,formula,start_mode,seed,depth,steps,warm_depth,warm_steps,restarts,warm_restarts,perturbation_noise,operator_family,operator_schedule,best_loss,post_snap_loss,snap_min_margin,verifier_status,recovery_class,status,claim_status,claim_id,claim_class,training_mode,evidence_class,return_kind,raw_status,repair_status,repair_verifier_status,repair_accepted_move_count,repair_candidate_root_count,repair_deduped_variant_count,repair_accepted_candidate_root_source,threshold_policy,dataset_manifest_sha256,provenance_source,provenance_expression,runtime_seconds,active_slot_count,changed_slot_count,warm_start_mechanism,reason,artifact_path
v1-11-paper-training-exp-pure-blind-02b2ebc9a4bf,v1.11-paper-training,exp-pure-blind,exp,blind,0,1,80,0,8,2,1,0.0,raw_eml,,0.04278997954189898,0.0,0.25192905967285034,recovered,blind_recovery,recovered,recovered,,,blind_training,blind_training_recovered,,,not_attempted,,0,,,,,c237c6da1b08d9529271554abe841aeb1f97b3e9467fb83a6451f2727ecf4c2d,sources/paper.pdf,exp(x),1.260315457941033,,,,verified,artifacts/campaigns/v1.11-paper-training/runs/v1.11-paper-training/v1-11-paper-training-exp-pure-blind-02b2ebc9a4bf.json
v1-11-paper-training-exp-pure-blind-484769b6d061,v1.11-paper-training,exp-pure-blind,exp,blind,1,1,80,0,8,2,1,0.0,raw_eml,,1.4240957909661547e-09,0.0,0.8638325066659521,recovered,blind_recovery,recovered,recovered,,,blind_training,blind_training_recovered,,,not_attempted,,0,,,,,1712ceb0c8bcc82f4322f7ed81d4f137f8e7bfa8f54a3eef523c9cd3482b3d10,sources/paper.pdf,exp(x),0.9558137920685112,,,,verified,artifacts/campaigns/v1.11-paper-training/runs/v1.11-paper-training/v1-11-paper-training-exp-pure-blind-484769b6d061.json
v1-11-paper-training-exp-scaffolded-64550481e523,v1.11-paper-training,exp-scaffolded,exp,blind,0,1,40,0,8,1,1,0.0,raw_eml,,0.0,0.0,1.0,recovered,scaffolded_blind_recovery,recovered,recovered,,,blind_training,scaffolded_blind_training_recovered,,,not_attempted,,0,,,,,c237c6da1b08d9529271554abe841aeb1f97b3e9467fb83a6451f2727ecf4c2d,sources/paper.pdf,exp(x),0.9462170839542523,,,,verified,artifacts/campaigns/v1.11-paper-training/runs/v1.11-paper-training/v1-11-paper-training-exp-scaffolded-64550481e523.json
v1-11-paper-training-exp-scaffolded-b7facf8bcdec,v1.11-paper-training,exp-scaffolded,exp,blind,1,1,40,0,8,1,1,0.0,raw_eml,,0.0,0.0,1.0,recovered,scaffolded_blind_recovery,recovered,recovered,,,blind_training,scaffolded_blind_training_recovered,,,not_attempted,,0,,,,,1712ceb0c8bcc82f4322f7ed81d4f137f8e7bfa8f54a3eef523c9cd3482b3d10,sources/paper.pdf,exp(x),0.9087114169960842,,,,verified,artifacts/campaigns/v1.11-paper-training/runs/v1.11-paper-training/v1-11-paper-training-exp-scaffolded-b7facf8bcdec.json
v1-11-paper-training-shockley-warm-8328865acd4f,v1.11-paper-training,shockley-warm,shockley,warm_start,0,2,8,0,1,1,1,0.0,raw_eml,,1.1979866060425772e-30,1.1979866060425772e-30,1.0,recovered,same_ast_warm_start_return,same_ast_return,recovered,,,compiler_warm_start_training,same_ast,,,not_attempted,,0,,,,,3009868ccb92bb446529829a4c396045d5bf85a0f5b654bcb072726781ab0478,sources/FOR_DEMO.md,0.2*exp(1.4*x) - 0.2,19.015009167022072,34,0,same_ast_return,verified,artifacts/campaigns/v1.11-paper-training/runs/v1.11-paper-training/v1-11-paper-training-shockley-warm-8328865acd4f.json
v1-11-paper-training-arrhenius-warm-2e7a23831737,v1.11-paper-training,arrhenius-warm,arrhenius,warm_start,0,2,8,0,1,1,1,0.0,raw_eml,,9.421157240802948e-33,9.421157240802948e-33,1.0,recovered,same_ast_warm_start_return,same_ast_return,recovered,,,compiler_warm_start_training,same_ast,,,not_attempted,,0,,,,,46c4985fa86ac8543a0c2ec869139947b0c9567671c8535e9cb921b05b3fadce,sources/FOR_DEMO.md,exp(-0.8/x),2.1795942910248414,18,0,same_ast_return,verified,artifacts/campaigns/v1.11-paper-training/runs/v1.11-paper-training/v1-11-paper-training-arrhenius-warm-2e7a23831737.json
v1-11-paper-training-michaelis-warm-93d60f54c668,v1.11-paper-training,michaelis-warm,michaelis_menten,warm_start,0,2,8,0,1,1,1,0.0,raw_eml,,1.1019529165135634e-31,1.1019529165135634e-31,1.0,recovered,same_ast_warm_start_return,same_ast_return,recovered,,,compiler_warm_start_training,same_ast,,,not_attempted,,0,,,,,ed0b514b76e91b981a47143e6e583f9cc342c17e88768e87819fa2b6e89141b0,sources/FOR_DEMO.md,2*x/(x + 0.5),9.68259099998977,40,0,same_ast_return,verified,artifacts/campaigns/v1.11-paper-training/runs/v1.11-paper-training/v1-11-paper-training-michaelis-warm-93d60f54c668.json
v1-11-paper-training-basin-depth2-perturbed-9c94515981c5,v1.11-paper-training,basin-depth2-perturbed,basin_depth2_exp_exp,perturbed_tree,0,2,8,0,16,1,1,0.05,raw_eml,,1.1649356994016893e-208,0.0,1.0,recovered,same_ast_return,recovered,recovered,,,perturbed_true_tree_training,perturbed_true_tree_recovered,same_ast_return,recovered,not_attempted,,0,,,,,1677cca12ce55a44469b7d18b905e6a5430cf8bc18a3b6eb3bde1ac745e49a6a,sources/NORTH_STAR.md,exp(exp(x)),0.9504200420342386,4,0,,verified,artifacts/campaigns/v1.11-paper-training/runs/v1.11-paper-training/v1-11-paper-training-basin-depth2-perturbed-9c94515981c5.json
