run_id,suite_id,case_id,formula,start_mode,seed,depth,steps,warm_depth,warm_steps,restarts,warm_restarts,perturbation_noise,operator_family,operator_schedule,best_loss,post_snap_loss,snap_min_margin,verifier_status,recovery_class,status,claim_status,claim_id,claim_class,training_mode,evidence_class,return_kind,raw_status,repair_status,repair_verifier_status,repair_accepted_move_count,threshold_policy,dataset_manifest_sha256,provenance_source,provenance_expression,runtime_seconds,active_slot_count,changed_slot_count,warm_start_mechanism,reason,artifact_path
v1-8-family-calibration-cal-exp-blind-zeml8-4-2-1-da490deccc81,v1.8-family-calibration,cal-exp-blind-zeml8-4-2-1,exp,blind,0,1,12,0,8,1,1,0.0,ZEML_8,ZEML_8 -> ZEML_4 -> ZEML_2 -> ZEML_1,2.8667473750380923,2.866747375038092,1.0,failed,snapped_but_failed,snapped_but_failed,failed,,,blind_training,snapped_but_failed,,,not_repaired,,0,,4c3b82306930ac2747eab867763be5f9d9d2a0cbde6ffa0e9bdbe3e97d798d93,sources/paper.pdf,exp(x),1.1732242919970304,,,,train_failed,artifacts/campaigns/v1.8-family-calibration/runs/v1.8-family-calibration/v1-8-family-calibration-cal-exp-blind-zeml8-4-2-1-da490deccc81.json
v1-8-family-calibration-cal-log-blind-raw-e8a2eaff5220,v1.8-family-calibration,cal-log-blind-raw,log,blind,0,3,18,0,8,1,1,0.0,raw_eml,,1.3867447915972624e-32,1.3867447915972624e-32,1.0,recovered,scaffolded_blind_recovery,recovered,recovered,,,blind_training,scaffolded_blind_training_recovered,,,not_attempted,,0,,1b197b452ecd35bb6442ce951246a199aac79ab2fae43495014d505604c2a824,sources/paper.pdf,E - log(exp(E)/x),1.1700609580148011,,,,verified,artifacts/campaigns/v1.8-family-calibration/runs/v1.8-family-calibration/v1-8-family-calibration-cal-log-blind-raw-e8a2eaff5220.json
v1-8-family-calibration-cal-log-blind-ceml1-145faacc55eb,v1.8-family-calibration,cal-log-blind-ceml1,log,blind,0,3,18,0,8,1,1,0.0,CEML_1,,0.18395315158474082,0.1839531515847408,1.0,failed,snapped_but_failed,snapped_but_failed,failed,,,blind_training,snapped_but_failed,,,not_repaired,,0,,1b197b452ecd35bb6442ce951246a199aac79ab2fae43495014d505604c2a824,sources/paper.pdf,E - log(exp(E)/x),1.355921667010989,,,,train_failed,artifacts/campaigns/v1.8-family-calibration/runs/v1.8-family-calibration/v1-8-family-calibration-cal-log-blind-ceml1-145faacc55eb.json
v1-8-family-calibration-cal-log-blind-zeml1-fa1413e3a2b9,v1.8-family-calibration,cal-log-blind-zeml1,log,blind,0,3,18,0,8,1,1,0.0,ZEML_1,,1.1022124749855136,1.1022124749855138,1.0,failed,snapped_but_failed,snapped_but_failed,failed,,,blind_training,snapped_but_failed,,,not_repaired,,0,,1b197b452ecd35bb6442ce951246a199aac79ab2fae43495014d505604c2a824,sources/paper.pdf,E - log(exp(E)/x),1.1985390420304611,,,,train_failed,artifacts/campaigns/v1.8-family-calibration/runs/v1.8-family-calibration/v1-8-family-calibration-cal-log-blind-zeml1-fa1413e3a2b9.json
v1-8-family-calibration-cal-log-blind-ceml2-0c6593c3dbee,v1.8-family-calibration,cal-log-blind-ceml2,log,blind,0,3,18,0,8,1,1,0.0,CEML_2,,1.3587306274625643,1.49538197897908,0.0551772556232028,failed,snapped_but_failed,snapped_but_failed,failed,,,blind_training,snapped_but_failed,,,not_repaired,,0,,1b197b452ecd35bb6442ce951246a199aac79ab2fae43495014d505604c2a824,sources/paper.pdf,E - log(exp(E)/x),1.3024777499958873,,,,train_failed,artifacts/campaigns/v1.8-family-calibration/runs/v1.8-family-calibration/v1-8-family-calibration-cal-log-blind-ceml2-0c6593c3dbee.json
v1-8-family-calibration-cal-log-blind-zeml2-81ac561176ce,v1.8-family-calibration,cal-log-blind-zeml2,log,blind,0,3,18,0,8,1,1,0.0,ZEML_2,,0.16224898591227654,0.5217704070885725,0.03431129171496761,failed,snapped_but_failed,snapped_but_failed,failed,,,blind_training,snapped_but_failed,,,not_repaired,,0,,1b197b452ecd35bb6442ce951246a199aac79ab2fae43495014d505604c2a824,sources/paper.pdf,E - log(exp(E)/x),1.3247037089895457,,,,train_failed,artifacts/campaigns/v1.8-family-calibration/runs/v1.8-family-calibration/v1-8-family-calibration-cal-log-blind-zeml2-81ac561176ce.json
v1-8-family-calibration-cal-log-blind-ceml4-f22755a5508a,v1.8-family-calibration,cal-log-blind-ceml4,log,blind,0,3,18,0,8,1,1,0.0,CEML_4,,1.5633383893633102,1.5633383893643238,1.0,failed,snapped_but_failed,snapped_but_failed,failed,,,blind_training,snapped_but_failed,,,not_repaired,,0,,1b197b452ecd35bb6442ce951246a199aac79ab2fae43495014d505604c2a824,sources/paper.pdf,E - log(exp(E)/x),1.4028975000255741,,,,train_failed,artifacts/campaigns/v1.8-family-calibration/runs/v1.8-family-calibration/v1-8-family-calibration-cal-log-blind-ceml4-f22755a5508a.json
v1-8-family-calibration-cal-log-blind-zeml4-cd5f02bf0c9f,v1.8-family-calibration,cal-log-blind-zeml4,log,blind,0,3,18,0,8,1,1,0.0,ZEML_4,,0.09883478788074188,0.486125568659873,0.059358026480869075,failed,snapped_but_failed,snapped_but_failed,failed,,,blind_training,snapped_but_failed,,,not_repaired,,0,,1b197b452ecd35bb6442ce951246a199aac79ab2fae43495014d505604c2a824,sources/paper.pdf,E - log(exp(E)/x),1.2844862079946324,,,,train_failed,artifacts/campaigns/v1.8-family-calibration/runs/v1.8-family-calibration/v1-8-family-calibration-cal-log-blind-zeml4-cd5f02bf0c9f.json
v1-8-family-calibration-cal-log-blind-ceml8-9ebccfce1ce0,v1.8-family-calibration,cal-log-blind-ceml8,log,blind,0,3,18,0,8,1,1,0.0,CEML_8,,0.7708617203745606,0.9361936630137444,0.01518321749421031,failed,snapped_but_failed,snapped_but_failed,failed,,,blind_training,snapped_but_failed,,,not_repaired,,0,,1b197b452ecd35bb6442ce951246a199aac79ab2fae43495014d505604c2a824,sources/paper.pdf,E - log(exp(E)/x),1.3581235420424491,,,,train_failed,artifacts/campaigns/v1.8-family-calibration/runs/v1.8-family-calibration/v1-8-family-calibration-cal-log-blind-ceml8-9ebccfce1ce0.json
v1-8-family-calibration-cal-log-blind-zeml8-ffe837486086,v1.8-family-calibration,cal-log-blind-zeml8,log,blind,0,3,18,0,8,1,1,0.0,ZEML_8,,0.1487767867643284,0.5122837911528454,0.011097055617488305,failed,snapped_but_failed,snapped_but_failed,failed,,,blind_training,snapped_but_failed,,,not_repaired,,0,,1b197b452ecd35bb6442ce951246a199aac79ab2fae43495014d505604c2a824,sources/paper.pdf,E - log(exp(E)/x),1.349561624985654,,,,train_failed,artifacts/campaigns/v1.8-family-calibration/runs/v1.8-family-calibration/v1-8-family-calibration-cal-log-blind-zeml8-ffe837486086.json
v1-8-family-calibration-cal-log-blind-zeml8-4-b461504b22c9,v1.8-family-calibration,cal-log-blind-zeml8-4,log,blind,0,3,18,0,8,1,1,0.0,ZEML_8,ZEML_8 -> ZEML_4,0.17827257240766758,0.486125568659873,0.10051630454435057,failed,snapped_but_failed,snapped_but_failed,failed,,,blind_training,snapped_but_failed,,,not_repaired,,0,,1b197b452ecd35bb6442ce951246a199aac79ab2fae43495014d505604c2a824,sources/paper.pdf,E - log(exp(E)/x),1.264414208009839,,,,train_failed,artifacts/campaigns/v1.8-family-calibration/runs/v1.8-family-calibration/v1-8-family-calibration-cal-log-blind-zeml8-4-b461504b22c9.json
v1-8-family-calibration-cal-log-blind-zeml8-4-2-1-2312f10518d4,v1.8-family-calibration,cal-log-blind-zeml8-4-2-1,log,blind,0,3,18,0,8,1,1,0.0,ZEML_8,ZEML_8 -> ZEML_4 -> ZEML_2 -> ZEML_1,0.22118141132346475,1.021775072282684,0.06274965944680644,failed,snapped_but_failed,snapped_but_failed,failed,,,blind_training,snapped_but_failed,,,not_repaired,,0,,1b197b452ecd35bb6442ce951246a199aac79ab2fae43495014d505604c2a824,sources/paper.pdf,E - log(exp(E)/x),1.3482237909920514,,,,train_failed,artifacts/campaigns/v1.8-family-calibration/runs/v1.8-family-calibration/v1-8-family-calibration-cal-log-blind-zeml8-4-2-1-2312f10518d4.json
