operator_family,operator_schedule,start_mode,training_mode,depth,total,verifier_pass_rate,unsupported_rate,repair_attempt_rate,repair_accept_rate,refit_attempt_rate,refit_accept_rate,anomaly_clamp_count_total,anomaly_exp_overflow_count_total,anomaly_expm1_overflow_count_total,anomaly_log_branch_cut_count_total,anomaly_log_branch_cut_proximity_count_total,anomaly_log_branch_cut_crossing_count_total,anomaly_branch_input_count_total,anomaly_log1p_branch_cut_count_total,anomaly_shifted_singularity_near_count_total,shifted_singularity_min_distance_min,gradient_l2_norm_max_median,gradient_max_abs_max_median,optimizer_wall_clock_seconds_median,median_active_node_count,median_candidate_complexity,median_post_snap_loss
ipi_eml,fixed,blind,blind_training,2,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,72.0,0.0,0.0,,454.4897495575329,321.3715853668181,0.14912550000008196,3.0,,3.2395529792987188
ipi_eml,fixed,blind,blind_training,3,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,26.0,0.0,168.0,0.0,0.0,,7.023135344426269,4.96855470945392,0.4652078329818323,3.0,,2.532535405260982
raw_eml,fixed,blind,blind_training,2,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,72.0,0.0,0.0,,30.728174931680734,21.384541872054807,0.04857237497344613,5.0,,0.5638625830597994
raw_eml,fixed,blind,blind_training,3,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,168.0,0.0,0.0,,14399.694260683938,7513.112515731366,0.3839882919564843,5.0,,0.6535512891542574
