diagnostic_id,pair_id,formula,target_family,seed,operator_family,candidate_role,candidate_id,fallback_candidate_id,comparison_outcome,trained_exact_recovery,verification_outcome,status,snap_min_margin,snap_active_node_count,low_margin_slot_count,lowest_margin_slots_json,low_confidence_alternatives_json,pre_snap_mse,post_snap_mse,post_snap_minus_soft_best,post_snap_minus_pre_snap,branch_cut_crossing_count,branch_cut_proximity_count,branch_input_count,artifact_path,snap_mismatch_class,neighborhood_seed
log:seed0:depth2:raw_eml:selected_unavailable,log:seed0:depth2,log,negative_control,0,raw_eml,selected_unavailable,,,ipi_lower_post_snap_mse,False,failed,snapped_but_failed,,,,,,2.4347976116804326,2.3020071703961182,,,0.0,0.0,72.0,artifacts/campaigns/v1.16-geml-pilot/runs/v1.16-geml-pilot/v1-16-geml-pilot-log-raw-v116-blind-5017393b5d99.json,loss_only_snap_candidate,True
log:seed1:depth2:ipi_eml:selected_unavailable,log:seed1:depth2,log,negative_control,1,ipi_eml,selected_unavailable,,,ipi_lower_post_snap_mse,False,failed,snapped_but_failed,,,,,,1.6160361948025237,1.6160361948025237,,,1.0,0.0,72.0,artifacts/campaigns/v1.16-geml-pilot/runs/v1.16-geml-pilot/v1-16-geml-pilot-log-ipi-v116-blind-1cede807b734.json,branch_pathology,True
log:seed1:depth2:raw_eml:selected_unavailable,log:seed1:depth2,log,negative_control,1,raw_eml,selected_unavailable,,,ipi_lower_post_snap_mse,False,failed,snapped_but_failed,,,,,,2.553861416847207,2.8088979209969587,,,0.0,0.0,72.0,artifacts/campaigns/v1.16-geml-pilot/runs/v1.16-geml-pilot/v1-16-geml-pilot-log-raw-v116-blind-d348cd35ea0c.json,loss_only_snap_candidate,True
log_periodic_oscillation:seed0:depth3:ipi_eml:selected_unavailable,log_periodic_oscillation:seed0:depth3,log_periodic_oscillation,log_periodic,0,ipi_eml,selected_unavailable,,,raw_lower_post_snap_mse,False,failed,snapped_but_failed,,,,,,1.4528631414360103,1.45286314143601,,,0.0,0.0,168.0,artifacts/campaigns/v1.16-geml-pilot/runs/v1.16-geml-pilot/v1-16-geml-pilot-log-periodic-oscillation-ipi-v116-blind-b9dc27c7c5eb.json,loss_only_snap_candidate,True
log_periodic_oscillation:seed0:depth3:raw_eml:selected_unavailable,log_periodic_oscillation:seed0:depth3,log_periodic_oscillation,log_periodic,0,raw_eml,selected_unavailable,,,raw_lower_post_snap_mse,False,failed,snapped_but_failed,,,,,,1.0020540299375387,0.9671902235544755,,,0.0,0.0,168.0,artifacts/campaigns/v1.16-geml-pilot/runs/v1.16-geml-pilot/v1-16-geml-pilot-log-periodic-oscillation-raw-v116-blind-c15ac8ea4804.json,loss_only_snap_candidate,True
log_periodic_oscillation:seed1:depth3:ipi_eml:selected_unavailable,log_periodic_oscillation:seed1:depth3,log_periodic_oscillation,log_periodic,1,ipi_eml,selected_unavailable,,,raw_lower_post_snap_mse,False,failed,snapped_but_failed,,,,,,0.8493344688738841,1.4338387827781072,,,0.0,0.0,168.0,artifacts/campaigns/v1.16-geml-pilot/runs/v1.16-geml-pilot/v1-16-geml-pilot-log-periodic-oscillation-ipi-v116-blind-7e17daae2089.json,loss_only_snap_candidate,True
log_periodic_oscillation:seed1:depth3:raw_eml:selected_unavailable,log_periodic_oscillation:seed1:depth3,log_periodic_oscillation,log_periodic,1,raw_eml,selected_unavailable,,,raw_lower_post_snap_mse,False,failed,snapped_but_failed,,,,,,1.0013600510268255,0.96570257767321,,,0.0,0.0,168.0,artifacts/campaigns/v1.16-geml-pilot/runs/v1.16-geml-pilot/v1-16-geml-pilot-log-periodic-oscillation-raw-v116-blind-cb9b0243d688.json,loss_only_snap_candidate,True
sin_pi:seed0:depth3:ipi_eml:selected_unavailable,sin_pi:seed0:depth3,sin_pi,periodic,0,ipi_eml,selected_unavailable,,,raw_lower_post_snap_mse,False,failed,snapped_but_failed,,,,,,2.1872893329864165,2.532535405260982,,,0.0,12.0,168.0,artifacts/campaigns/v1.16-geml-pilot/runs/v1.16-geml-pilot/v1-16-geml-pilot-sin-pi-ipi-v116-blind-2dbf88bedf2b.json,loss_only_snap_candidate,True
sin_pi:seed0:depth3:raw_eml:selected_unavailable,sin_pi:seed0:depth3,sin_pi,periodic,0,raw_eml,selected_unavailable,,,raw_lower_post_snap_mse,False,failed,snapped_but_failed,,,,,,0.4305192247676462,0.6535512891542574,,,0.0,24.0,168.0,artifacts/campaigns/v1.16-geml-pilot/runs/v1.16-geml-pilot/v1-16-geml-pilot-sin-pi-raw-v116-blind-220d22c0209c.json,loss_only_snap_candidate,True
sin_pi:seed1:depth3:ipi_eml:selected_unavailable,sin_pi:seed1:depth3,sin_pi,periodic,1,ipi_eml,selected_unavailable,,,raw_lower_post_snap_mse,False,failed,snapped_but_failed,,,,,,2.199448434356592,2.537787338366473,,,0.0,36.0,168.0,artifacts/campaigns/v1.16-geml-pilot/runs/v1.16-geml-pilot/v1-16-geml-pilot-sin-pi-ipi-v116-blind-c803be2bb022.json,loss_only_snap_candidate,True
sin_pi:seed1:depth3:raw_eml:selected_unavailable,sin_pi:seed1:depth3,sin_pi,periodic,1,raw_eml,selected_unavailable,,,raw_lower_post_snap_mse,False,failed,snapped_but_failed,,,,,,0.9186405704999956,0.656776493380918,,,0.0,24.0,168.0,artifacts/campaigns/v1.16-geml-pilot/runs/v1.16-geml-pilot/v1-16-geml-pilot-sin-pi-raw-v116-blind-7aaf87676b6f.json,loss_only_snap_candidate,True
