group,total,verifier_recovered,same_ast_return,verified_equivalent_ast,unsupported,failed,execution_error,verifier_recovery_rate,unsupported_rate,failure_rate
same_ast_warm_start_return,2,2,2,0,0,0,0,1.0,0.0,0.0
scaffolded_blind_recovery,2,2,0,0,0,0,0,1.0,0.0,0.0
snapped_but_failed,21,0,0,0,0,21,0,0.0,0.0,1.0
unsupported,30,0,0,0,30,0,0,0.0,1.0,0.0
