group,total,verifier_recovered,same_ast_return,verified_equivalent_ast,unsupported,failed,execution_error,verifier_recovery_rate,unsupported_rate,failure_rate
blind,6,4,0,0,0,2,0,0.6666666666666666,0.0,0.3333333333333333
compile,3,1,0,0,2,0,0,0.3333333333333333,0.6666666666666666,0.0
warm_start,7,4,4,0,1,2,0,0.5714285714285714,0.14285714285714285,0.2857142857142857
