group,total,verifier_recovered,same_ast_return,verified_equivalent_ast,unsupported,failed,execution_error,verifier_recovery_rate,unsupported_rate,failure_rate
basin_depth1_exp,4,4,0,0,0,0,0,1.0,0.0,0.0
basin_depth2_exp_exp,2,2,0,0,0,0,0,1.0,0.0,0.0
basin_depth3_exp_exp_exp,1,1,0,0,0,0,0,1.0,0.0,0.0
beer_lambert,2,2,0,0,0,0,0,1.0,0.0,0.0
