run_id,suite_id,case_id,formula,start_mode,seed,depth,steps,warm_depth,warm_steps,restarts,warm_restarts,perturbation_noise,best_loss,post_snap_loss,snap_min_margin,verifier_status,recovery_class,status,claim_status,claim_id,claim_class,training_mode,evidence_class,return_kind,raw_status,repair_status,repair_verifier_status,repair_accepted_move_count,threshold_policy,dataset_manifest_sha256,provenance_source,provenance_expression,runtime_seconds,active_slot_count,changed_slot_count,warm_start_mechanism,reason,artifact_path
proof-perturbed-basin-basin-depth1-perturbed-62ddec88305c,proof-perturbed-basin,basin-depth1-perturbed,basin_depth1_exp,perturbed_tree,0,1,8,0,12,1,1,0.05,0.0,0.0,1.0,recovered,same_ast_return,recovered,recovered,paper-perturbed-true-tree-basin,bounded_training_proof,perturbed_true_tree_training,perturbed_true_tree_recovered,same_ast_return,recovered,not_attempted,,0,bounded_100_percent,d4c4e29922f3aefb8d6b4c028392f835d19606b26fac86207174cdc6b0b15e20,sources/NORTH_STAR.md,exp(x),0.021281042019836605,2,0,,verified,artifacts/proof/v1.5/campaigns/proof-basin/runs/proof-perturbed-basin/proof-perturbed-basin-basin-depth1-perturbed-62ddec88305c.json
proof-perturbed-basin-basin-depth1-perturbed-dffbcf7a601b,proof-perturbed-basin,basin-depth1-perturbed,basin_depth1_exp,perturbed_tree,0,1,8,0,12,1,1,0.25,0.0,0.0,1.0,recovered,same_ast_return,recovered,recovered,paper-perturbed-true-tree-basin,bounded_training_proof,perturbed_true_tree_training,perturbed_true_tree_recovered,same_ast_return,recovered,not_attempted,,0,bounded_100_percent,d4c4e29922f3aefb8d6b4c028392f835d19606b26fac86207174cdc6b0b15e20,sources/NORTH_STAR.md,exp(x),0.016845082980580628,2,0,,verified,artifacts/proof/v1.5/campaigns/proof-basin/runs/proof-perturbed-basin/proof-perturbed-basin-basin-depth1-perturbed-dffbcf7a601b.json
proof-perturbed-basin-basin-depth1-perturbed-4fa9312ddb8e,proof-perturbed-basin,basin-depth1-perturbed,basin_depth1_exp,perturbed_tree,1,1,8,0,12,1,1,0.05,0.0,0.0,1.0,recovered,same_ast_return,recovered,recovered,paper-perturbed-true-tree-basin,bounded_training_proof,perturbed_true_tree_training,perturbed_true_tree_recovered,same_ast_return,recovered,not_attempted,,0,bounded_100_percent,7ad9947f979508a9467071bec4cb8164d1a5daf9585f6fd8d86f5bf15c1d1ce2,sources/NORTH_STAR.md,exp(x),0.01586741697974503,2,0,,verified,artifacts/proof/v1.5/campaigns/proof-basin/runs/proof-perturbed-basin/proof-perturbed-basin-basin-depth1-perturbed-4fa9312ddb8e.json
proof-perturbed-basin-basin-depth1-perturbed-8eb5fd633e93,proof-perturbed-basin,basin-depth1-perturbed,basin_depth1_exp,perturbed_tree,1,1,8,0,12,1,1,0.25,0.0,0.0,1.0,recovered,same_ast_return,recovered,recovered,paper-perturbed-true-tree-basin,bounded_training_proof,perturbed_true_tree_training,perturbed_true_tree_recovered,same_ast_return,recovered,not_attempted,,0,bounded_100_percent,7ad9947f979508a9467071bec4cb8164d1a5daf9585f6fd8d86f5bf15c1d1ce2,sources/NORTH_STAR.md,exp(x),0.01766733400290832,2,0,,verified,artifacts/proof/v1.5/campaigns/proof-basin/runs/proof-perturbed-basin/proof-perturbed-basin-basin-depth1-perturbed-8eb5fd633e93.json
proof-perturbed-basin-basin-depth2-perturbed-07dd65ef0f5c,proof-perturbed-basin,basin-depth2-perturbed,basin_depth2_exp_exp,perturbed_tree,0,2,8,0,16,1,1,0.05,1.1649356994016893e-208,0.0,1.0,recovered,same_ast_return,recovered,recovered,paper-perturbed-true-tree-basin,bounded_training_proof,perturbed_true_tree_training,perturbed_true_tree_recovered,same_ast_return,recovered,not_attempted,,0,bounded_100_percent,1677cca12ce55a44469b7d18b905e6a5430cf8bc18a3b6eb3bde1ac745e49a6a,sources/NORTH_STAR.md,exp(exp(x)),0.02950974996201694,4,0,,verified,artifacts/proof/v1.5/campaigns/proof-basin/runs/proof-perturbed-basin/proof-perturbed-basin-basin-depth2-perturbed-07dd65ef0f5c.json
proof-perturbed-basin-basin-depth2-perturbed-37cc30aaa534,proof-perturbed-basin,basin-depth2-perturbed,basin_depth2_exp_exp,perturbed_tree,0,2,8,0,16,1,1,0.1,5.303889067169106e-209,0.0,1.0,recovered,same_ast_return,recovered,recovered,paper-perturbed-true-tree-basin,bounded_training_proof,perturbed_true_tree_training,perturbed_true_tree_recovered,same_ast_return,recovered,not_attempted,,0,bounded_100_percent,1677cca12ce55a44469b7d18b905e6a5430cf8bc18a3b6eb3bde1ac745e49a6a,sources/NORTH_STAR.md,exp(exp(x)),0.029960541985929012,4,0,,verified,artifacts/proof/v1.5/campaigns/proof-basin/runs/proof-perturbed-basin/proof-perturbed-basin-basin-depth2-perturbed-37cc30aaa534.json
proof-perturbed-basin-basin-depth3-perturbed-7d09562889a9,proof-perturbed-basin,basin-depth3-perturbed,basin_depth3_exp_exp_exp,perturbed_tree,0,3,8,0,20,1,1,0.05,7.880941988472298e-210,0.0,1.0,recovered,same_ast_return,recovered,recovered,paper-perturbed-true-tree-basin,bounded_training_proof,perturbed_true_tree_training,perturbed_true_tree_recovered,same_ast_return,recovered,not_attempted,,0,bounded_100_percent,e9c1e33d0fd4a9a2912969a9dc401044e6d582c34187f17622e477af01afe68f,sources/NORTH_STAR.md,exp(exp(exp(x))),0.05141825001919642,6,0,,verified,artifacts/proof/v1.5/campaigns/proof-basin/runs/proof-perturbed-basin/proof-perturbed-basin-basin-depth3-perturbed-7d09562889a9.json
proof-perturbed-basin-basin-beer-lambert-bound-6d5706dd5485,proof-perturbed-basin,basin-beer-lambert-bound,beer_lambert,perturbed_tree,0,2,8,0,40,1,1,5.0,4.402476533950082e-33,4.914382424793936e-32,1.0,recovered,same_ast_return,recovered,recovered,paper-perturbed-true-tree-basin,bounded_training_proof,perturbed_true_tree_training,perturbed_true_tree_recovered,same_ast_return,recovered,not_attempted,,0,bounded_100_percent,c7643c6f17782e5c73c73c4e938c105fe2b525632d352a315b5e2f88a077011e,sources/FOR_DEMO.md,exp(-0.8*x),5.5821348750032485,18,0,,verified,artifacts/proof/v1.5/campaigns/proof-basin/runs/proof-perturbed-basin/proof-perturbed-basin-basin-beer-lambert-bound-6d5706dd5485.json
proof-perturbed-basin-basin-beer-lambert-bound-d817ff8c67cb,proof-perturbed-basin,basin-beer-lambert-bound,beer_lambert,perturbed_tree,1,2,8,0,40,1,1,5.0,1.7829289018647374e-33,4.198805726558872e-32,0.9999999999999986,recovered,same_ast_return,recovered,recovered,paper-perturbed-true-tree-basin,bounded_training_proof,perturbed_true_tree_training,perturbed_true_tree_recovered,same_ast_return,recovered,not_attempted,,0,bounded_100_percent,45f5bc8ac5b922db7efb81ff59975c46ffd206590818b9ffef6e320394bab09d,sources/FOR_DEMO.md,exp(-0.8*x),5.463868458988145,18,0,,verified,artifacts/proof/v1.5/campaigns/proof-basin/runs/proof-perturbed-basin/proof-perturbed-basin-basin-beer-lambert-bound-d817ff8c67cb.json
