group,total,verifier_recovered,verification_passed,trained_exact_recovery,compile_only_verified_support,same_ast_return,verified_equivalent_ast,unsupported,failed,execution_error,verifier_recovery_rate,unsupported_rate,failure_rate
cos_pi,4,0,0,0,0,0,0,0,4,0,0.0,0.0,1.0
exp,4,0,0,0,0,0,0,0,2,0,0.0,0.0,0.5
harmonic_sum,4,0,0,0,0,0,0,0,4,0,0.0,0.0,1.0
log,4,0,0,0,0,0,0,0,4,0,0.0,0.0,1.0
log_periodic_oscillation,4,0,0,0,0,0,0,0,4,0,0.0,0.0,1.0
sin_pi,4,0,0,0,0,0,0,0,4,0,0.0,0.0,1.0
